l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,delta,kappa,refine,max_abs_n,abs_kappa,mu
4,2,0,6,-1,0,10,-66,0,-0.0014879160161311994,0.0013005434184394844,0.00018764061673942904,2.680190477140267e-07,12.458414817589404,1,66,12.458414817589404,8716.204562275992
1,4,0,5,-1,0,6,-33,0,-0.0014878228371177796,0.0012600188347770935,0.00022768104057379994,-1.229617668861531e-07,6.336297545871043,1,33,6.336297545871043,11732.545894235902
4,5,0,6,4,0,10,-88,0,-0.0022367954459129313,0.002095241425916125,0.00014219906009095305,6.450400941468253e-07,23.683889108338203,1,88,23.683889108338203,5172.429348117501
3,0,0,5,-4,0,8,-50,0,-0.001168345950483926,0.0009693099903137455,0.00019913135113788932,9.539096770881487e-08,5.1257160986396935,1,50,5.1257160986396935,10698.302268287498
6,3,0,3,3,0,9,-74,0,-0.0018395688730973574,0.0016875888535549334,0.00015222659345364995,2.4657391122602165e-07,13.411417457333423,1,74,13.411417457333423,8246.38234182104
4,2,0,4,0,0,8,-37,0,-0.0014879160161311994,0.0012229835463714977,0.0002648169303867513,-1.1553937295035073e-07,5.634790002603909,1,37,5.634790002603909,12914.961697589792
4,3,0,6,2,0,10,-77,0,-0.0017407293441252403,0.0015790857886420345,0.00016183446483871537,1.909093555094686e-07,6.77175202011113,1,77,6.77175202011113,5659.585257907771
1,6,0,6,3,0,7,-66,0,-0.0019747070189232627,0.0018395688730973574,0.00013477880621554685,-3.5933961035862147e-07,18.48337839022906,1,66,18.48337839022906,6929.796486931959
3,3,0,5,2,0,8,-64,0,-0.0016875888535549334,0.0015302335921351087,0.00015766167005927062,3.064086394458966e-07,11.78658943684018,1,64,11.78658943684018,6063.076896321432
3,5,0,5,4,0,8,-79,0,-0.002171276389406632,0.002043085918592437,0.00012799879602303058,-1.916747911644319e-07,16.795755215232035,1,79,16.795755215232035,11093.53137018622
5,2,0,4,0,0,9,-35,0,-0.0015302335921351087,0.0012229835463714977,0.0003071330084927401,-1.1703727087085045e-07,5.1311320248875205,1,35,5.1311320248875205,13465.27787798802
2,3,0,4,2,0,6,-63,0,-0.0016105693803172012,0.0014879160161311994,0.0001223973685225449,-2.559956634568504e-07,9.571236555772888,1,63,9.571236555772888,
1,4,0,5,-34,0,6,-1,0,-0.0014878228371177796,0.0001875000544873261,0.0013005434184394844,2.20635809030853e-07,8.428435322910708,1,34,8.428435322910708,49019.41973557737
4,5,0,6,4,0,10,-89,0,-0.0022367954459129313,0.002095241425916125,0.00014052786112867793,-1.0261588681281797e-06,26.337144165479224,1,89,26.337144165479224,3585.3591551625805
0,8,0,4,-43,0,4,5,0,-0.002359676960396333,0.00012247863144825867,0.0022367954459129313,-4.028830351428779e-07,9.001807945647045,1,43,9.001807945647045,29683.608004889953
5,2,0,5,-1,0,10,-45,0,-0.0015302335921351087,0.0012600188347770935,0.00026996668903485945,-2.4806832315572847e-07,8.67788985148172,1,45,8.67788985148172,9443.897874350063
5,3,0,6,2,0,11,-64,0,-0.001790781810623974,0.0015790857886420345,0.0002118583584671089,1.6233648516953726e-07,4.895032371461161,1,64,4.895032371461161,6381.456641021531
1,1,0,4,-20,0,5,-7,0,-0.0009785032656031902,0.0002516141139981885,0.0007269291638669737,4.001226197201599e-08,1.8865466545768563,1,20,1.8865466545768563,34274.07179603094
0,3,0,5,-34,0,5,-3,0,-0.0011860096719051476,0.0001875000544873261,0.0009983082697128877,-2.013477049338762e-07,7.755492864525405,1,34,7.755492864525405,38449.73836687771
6,1,0,4,1,0,10,-76,0,-0.0015742472041819552,0.0014100176816295921,0.00016410335362275995,-1.2616892960297735e-07,3.8344066355458755,1,76,3.8344066355458755,4889.4630784484
