l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,delta,kappa,refine,max_abs_n,abs_kappa,mu
1,6,0,6,2,0,7,-71,0,-0.0017098504656313984,0.0015907002056791103,0.00011965594346706559,5.056835147773664e-07,13.919059494135913,1,71,13.919059494135913,3293.286169471434
1,5,0,5,-8,0,6,-5,0,-0.0015032438859202853,0.0006211057705364322,0.0008822153106829276,7.719529907467514e-08,2.509549334850966,1,8,2.509549334850966,28623.530969918076
5,3,0,2,3,0,7,-56,0,-0.001548847611724769,0.001398386150657986,0.00015078215632592252,3.2069525913959104e-07,7.386415518537658,1,56,7.386415518537658,3472.7700295304285
4,1,0,6,-48,0,6,-1,0,-0.0012825574052606177,0.0001515064539046481,0.0011309737734404898,-7.717791547989447e-08,1.917775514071351,1,48,1.917775514071351,28084.963098107117
4,1,0,6,-2,0,10,-73,0,-0.0012825574052606177,0.0011210385021110606,0.00016194122117182364,4.2231802226642967e-07,9.197368055212173,1,73,9.197368055212173,3526.1143610993836
5,3,0,0,5,0,5,-56,0,-0.001548847611724769,0.0014376844518621038,0.00011094529679619612,-2.178630664690425e-07,5.83583365850834,1,56,5.83583365850834,2971.654620357348
4,3,0,4,1,0,8,-42,0,-0.00150612480128053,0.0012825574052606177,0.000223344019713922,-2.2337630599020795e-07,4.873390338806919,1,42,4.873390338806919,4872.682029572163
3,2,0,3,-28,0,6,-2,0,-0.001257209295342265,0.0001363682131276263,0.0011210385021110606,1.9741989642184377e-07,4.2848935460077024,1,28,4.2848935460077024,24322.723047996697
1,7,0,6,4,0,7,-79,0,-0.0019182614902478053,0.0018116043345837844,0.00010762168643366978,9.64530769648718e-07,16.454548528690772,1,79,16.454548528690772,1835.8140082486866
1,5,0,2,3,0,3,-37,0,-0.0015032438859202853,0.001398386150657986,0.00010507781752255083,2.2008226025155633e-07,5.051271335369202,1,37,5.051271335369202,2411.71813053072
4,4,0,6,2,0,10,-91,0,-0.0017201142970912078,0.0015907002056791103,0.0001308716635948563,1.457572182758703e-06,24.694275304887952,1,91,24.694275304887952,2215.817760878174
0,4,0,6,-66,0,6,-2,0,-0.0012318460189154454,0.00011143073375883975,0.0011210385021110606,6.232169544549953e-07,12.755968195039681,1,66,12.755968195039681,22944.515520839872
3,2,0,4,-1,0,7,-41,0,-0.001257209295342265,0.0010553705459852385,0.00020157772332139425,-2.6102603563229847e-07,5.297016601817553,1,41,5.297016601817553,4090.6243891681247
4,5,0,6,4,0,10,-98,0,-0.0019351014156810539,0.0018116043345837844,0.00012167761920965909,-1.8194618876103165e-06,25.130741457741394,1,98,25.130741457741394,1677.6235043061472
