l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,gamma_a,gamma_b,gamma_c,delta,kappa,mu_a,mu_b,mu_c,mu_max,E_th_over_E_star,E_eq_over_E_star,E_th_ceiling_over_E_star,detuning_dominated,refine
3,5,0,1,6,0,4,-29,0,-0.0018791792959005039,0.0017098504656313984,0.00016932909432641483,-7.901099996386607e-07,-7.660924731876557e-07,3.490958829055335e-11,2.640573094382648e-10,2.6068333466037785,6200.031617709529,5818.2205187233185,1657235.1430621957,1657235.1430621957,0.0,0.0,2.2149307512267356e-15,False,1
3,2,0,1,2,0,4,-23,0,-0.001257209295342265,0.0010450091125652884,0.00021219957477387836,-4.4337768099683875e-08,8.510955157589538e-10,1.2697187148179345e-11,-6.080030981719248e-10,1.291707811164417,36623.2778480664,1290534.089572195,450721.54856705514,1290534.089572195,1.0919484812557251e-14,7.303274258197743e-15,6.24451112156247e-14,False,1
5,3,0,4,1,0,9,-39,0,-0.001548847611724769,0.0012825574052606177,0.0002662476568484346,-4.5178955630907436e-07,-6.331394448016904e-08,2.1550603343691627e-10,-4.254961571666452e-08,4.886063217651035,16676.849191679827,82149.89970918241,30573.394746313515,82149.89970918241,0.0,0.0,1.3880034040388745e-11,False,1
4,4,0,6,2,0,10,-92,0,-0.0017201142970912078,0.0015907002056791103,0.00012931121477257452,-7.982213700954616e-07,-5.501307220000565e-07,6.213393100907979e-08,-1.0287663952299707e-07,26.706379324814062,57078.38006797881,75905.53887533616,28734.525644499707,75905.53887533616,0.0,0.0,4.508779544999566e-12,False,1
4,1,0,3,1,0,7,-75,0,-0.0012825574052606177,0.0011691878228487144,0.00011343798938888974,-6.331394448016904e-08,-5.130374198263038e-09,1.006293431305662e-08,6.840697698638591e-08,4.435608532930734,61033.16139648804,75599.53686677373,7277.169333284645,75599.53686677373,0.0,0.0,1.1208089501522155e-10,True,1
3,2,0,6,-2,0,9,-79,0,-0.001257209295342265,0.0011210385021110606,0.00013597760054681694,-4.4337768099683875e-08,-5.316983021097293e-09,1.364734188123391e-08,-1.9319268438743736e-07,10.795721459366383,68473.47669787127,62620.58325925288,7579.620498039626,68473.47669787127,0.0,0.0,1.3130163306882934e-10,True,1
3,1,0,3,-34,0,4,-1,0,-0.0011691878228487144,0.00011378624394402568,0.0010553705459852385,-5.130374198263038e-09,1.144341267495907e-10,5.565058053936869e-10,-3.103291945031478e-08,1.6098132911240113,59838.67899632667,5902.550121857638,54737.88643296016,59838.67899632667,1.094965571190663e-10,2.528610732311907e-12,1.9341027260391997e-10,True,1
0,8,0,4,-46,0,4,5,0,-0.002045386024107556,0.00011001616526947783,0.0019351014156810539,-1.0535532469047269e-07,7.274635268956229e-10,-6.592207379659595e-07,-2.6844315702441446e-07,8.053201120440772,57119.282422192075,3300.4344831805665,21894.006082174696,57119.282422192075,0.0,0.0,3.262025625591341e-10,True,1
6,2,0,3,3,0,9,-83,0,-0.0015907002056791103,0.0014614673184444634,0.00012947427717372738,-5.501307220000565e-07,-2.655051493296818e-07,2.0604378042075927e-08,2.413899390805909e-07,12.47816335007734,33039.82914580617,50821.30011936807,6668.660810394611,50821.30011936807,0.0,0.0,1.2360738285318358e-10,False,1
4,5,0,6,4,0,10,-96,0,-0.0019351014156810539,0.0018116043345837844,0.00012400979597315407,-6.592207379659595e-07,-8.828551439014841e-07,7.553723134874275e-08,5.127148758846557e-07,21.325908365860254,49414.58919815887,37841.861334345755,5102.990298182246,49414.58919815887,0.0,0.0,1.6080421641706036e-10,False,1
