l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,gamma_a,gamma_b,gamma_c,delta,kappa,mu_a,mu_b,mu_c,mu_max,E_th_over_E_star,E_eq_over_E_star,E_th_ceiling_over_E_star,detuning_dominated,refine
6,4,0,3,4,0,9,-63,0,-0.0022093157464766807,0.002032805134904902,0.00017598168156884246,-8.528980162562377e-07,-6.343147104648854e-07,1.2315122699358016e-08,-5.289300029362801e-07,12.907637315757274,28414.90822355725,31769.577761697856,4293.3701302146155,31769.577761697856,0.0,0.0,2.933727030583527e-10,False,1
3,2,0,6,-1,0,9,-75,0,-0.0015200389411412969,0.0013704000046100727,0.00014878510032553105,-7.245981903674689e-08,-3.37504123438315e-08,4.2095865283155446e-08,-8.538362056931086e-07,17.556841107637247,31143.56066750501,28156.595673711,3055.6533009625605,31143.56066750501,0.0,0.0,7.249859652765259e-10,True,1
1,6,0,6,3,0,7,-62,0,-0.0020806656855415083,0.0019398395214352587,0.00014193673671314,-7.036902493095676e-07,-5.11030322157432e-07,1.0670470966712816e-08,1.1105726068906356e-06,19.54584969275252,30932.548328357483,31014.7998616388,2497.9421061517296,31014.7998616388,0.0,0.0,7.328316248162911e-10,True,1
3,5,0,5,4,0,8,-76,0,-0.002287100982825212,0.0021542255236564572,0.0001313660770305507,-8.175078322448832e-07,-8.099594176837719e-07,4.667700575270647e-08,-1.5093821382041253e-06,22.55090502180432,30046.37970729782,28359.933144689254,1961.7354278347887,30046.37970729782,0.0,0.0,9.894095097315523e-10,True,1
0,5,0,5,-49,0,5,2,0,-0.0017437048376520042,0.00013121807408367878,0.0016116456045286907,-2.1823621115654396e-07,1.959043280430198e-09,-1.2746794401609717e-07,-8.411590396346664e-07,14.499752763190152,29094.41320013785,2261.9081321966887,27467.67333398109,29094.41320013785,0.0,0.0,9.946077726743268e-10,True,1
4,3,0,5,-28,0,5,2,0,-0.0018346253732878105,0.00022308546439977185,0.0016116456045286907,-3.434660740353971e-07,6.272621834714679e-11,-1.2746794401609717e-07,1.0569564065209675e-07,2.93536833030093,14985.75910904846,6195.505205266363,28569.4077136711,28569.4077136711,0.0,0.0,2.2538662365453456e-10,False,1
1,4,0,5,-49,0,6,0,0,-0.0015644708523005883,0.00013121807408367878,0.0014332225252893954,-9.777106988026456e-08,1.959043280430198e-09,-9.25495980129352e-11,-3.0252927514040975e-08,0.5927708669930855,9061.274759727708,2565.6915831366086,28082.194131713415,28082.194131713415,0.0,0.0,8.656330794384781e-10,False,1
5,4,0,2,4,0,7,-40,0,-0.0021542255236564572,0.0019384406889540282,0.0002157080228011615,-8.099594176837719e-07,-4.504348930497585e-07,3.724099863226169e-10,-7.681190126746645e-08,6.427074381059424,17017.550248183987,27265.23647277251,18048.703264249532,27265.23647277251,0.0,0.0,2.134969031766875e-11,False,1
1,6,0,6,3,0,7,-63,0,-0.0020806656855415083,0.0019398395214352587,0.00013943531048518084,-7.036902493095676e-07,-5.11030322157432e-07,1.2146547353556903e-08,-1.3908536210687807e-06,20.37801101023922,27201.440466626747,26677.70307555914,2042.8504486931133,27201.440466626747,0.0,0.0,1.0764174064681052e-09,True,1
2,1,0,6,-47,0,6,-3,0,-0.0012494666394183471,0.0001602306370268653,0.0010890596538083064,-1.0055076559227109e-08,1.2683366758568027e-09,-1.2830530937738436e-09,-1.763485831755146e-07,3.8263228578940884,27066.337058556834,3476.5138540879307,23629.24319071547,27066.337058556834,0.0,0.0,7.607877553447174e-10,True,1
3,7,0,2,-21,0,5,5,0,-0.0025508556724188006,0.00013134415362874819,0.0024198285278438287,-1.900343509302829e-07,1.3255256780256874e-11,-6.484047692647287e-07,3.1700905377607044e-07,3.7100143427752235,25604.938393379885,1537.1444050950047,12438.648984876105,25604.938393379885,0.0,0.0,1.4357434152446271e-09,True,1
4,3,0,6,2,0,8,-57,0,-0.0018346253732878105,0.0016598048850307147,0.00017434398182801343,-3.434660740353971e-07,-1.6369989094870238e-07,5.391436135634417e-09,-4.7650642908238575e-07,7.727122860311088,24134.50912793437,25455.469580288238,2827.015675035724,25455.469580288238,0.0,0.0,8.213304277673669e-10,True,1
3,7,0,5,5,0,8,-77,0,-0.0025508556724188006,0.0024198285278438287,0.00012960605206947375,-1.900343509302829e-07,-6.484047692647287e-07,,-1.4210925054982011e-06,14.29549072322714,25433.952650139283,22145.971709988084,,25433.952650139283,0.0,0.0,1.9693218761320117e-09,True,1
6,4,0,1,6,0,7,-68,0,-0.0022093157464766807,0.0020806656855415083,0.00012928109264786008,-8.528980162562377e-07,-7.036902493095676e-07,,6.310317126876665e-07,11.513071720221586,23974.52445628622,25344.000096138665,,25344.000096138665,0.0,0.0,6.980116145915265e-10,False,1
