l_a,n_a,l_b,n_b,l_c,n_c,omega_a,omega_b,omega_c,delta,abs_delta_over_omega_a
0,7,1,-2,1,4,-0.001837851339960868,0.000551813400999308,0.0012960421937048758,1.0004254743315724e-05,0.005443451559868132
0,8,1,-2,1,5,-0.002045386024107556,0.000551813400999308,0.0015032438859202853,9.671262812037482e-06,0.004728331326238163
0,7,1,-1,1,3,-0.001837851339960868,0.0006570931047518628,0.0011616347408751621,-1.912349433384297e-05,0.01040535429500525
1,4,0,1,1,-1,-0.0012960421937048758,0.0006390285330416885,0.0006570931047518628,7.944408867560648e-08,6.129745548523156e-05
1,5,0,1,1,1,-0.0015032438859202853,0.0006390285330416885,0.0008463740302387266,-1.784132263987011e-05,0.011868548282135643
1,6,0,1,1,2,-0.0017098504656313984,0.0006390285330416885,0.0010450091125652884,-2.581282002442147e-05,0.01509653653536863
1,7,0,1,1,4,-0.0019182614902478053,0.0006390285330416885,0.0012960421937048758,1.6809236498758953e-05,0.00876274511280915
1,3,0,2,1,-4,-0.0011616347408751621,0.0008237876227291485,0.0003568467481834522,1.8999630037438682e-05,0.01635594164747912
1,5,0,2,1,-1,-0.0015032438859202853,0.0008237876227291485,0.0006570931047518628,-2.236315843927414e-05,0.014876600296686672
1,3,0,3,1,-14,-0.0011616347408751621,0.001025482836392379,0.00010983096748753855,-2.6320936995244447e-05,0.02265853117944334
1,3,0,3,1,-13,-0.0011616347408751621,0.001025482836392379,0.00011711247842563841,-1.9039426057144634e-05,0.016390200281717258
1,3,0,3,1,-12,-0.0011616347408751621,0.001025482836392379,0.000124097089647641,-1.2054814835142126e-05,0.010377457225547651
1,3,0,3,1,-11,-0.0011616347408751621,0.001025482836392379,0.00013747178835957956,1.3198838767964662e-06,0.0011362296859355988
1,3,0,3,1,-10,-0.0011616347408751621,0.001025482836392379,0.00015179288497789371,1.5640980495110592e-05,0.01346462872083772
1,3,0,3,1,-9,-0.0011616347408751621,0.001025482836392379,0.00016224548908553,2.609358460274689e-05,0.022462813554532887
1,4,0,3,1,-5,-0.0012960421937048758,0.001025482836392379,0.0002791882474268197,8.628890114323069e-06,0.0066578774643566655
1,4,0,4,1,-20,-0.0012960421937048758,0.0012318460189154454,7.800483371878973e-05,1.3808658929359346e-05,0.01065448254418771
1,4,0,4,1,-19,-0.0012960421937048758,0.0012318460189154454,8.065993340083952e-05,1.6463758611409132e-05,0.012703103873760243
1,4,0,4,1,-18,-0.0012960421937048758,0.0012318460189154454,8.559118875464286e-05,2.1395013965212458e-05,0.016507960982390945
1,5,0,4,1,-5,-0.0015032438859202853,0.0012318460189154454,0.0002791882474268197,7.790380421979866e-06,0.005182379582545648
1,5,0,5,1,-20,-0.0015032438859202853,0.0014376844518621038,7.800483371878973e-05,1.2445399660608245e-05,0.008279028956761181
1,5,0,5,1,-19,-0.0015032438859202853,0.0014376844518621038,8.065993340083952e-05,1.510049934265803e-05,0.010045275742740514
1,5,0,5,1,-18,-0.0015032438859202853,0.0014376844518621038,8.559118875464286e-05,2.0031754696461356e-05,0.013325685129394638
1,5,0,5,1,-17,-0.0015032438859202853,0.0014376844518621038,9.145606055134993e-05,2.5896626493168403e-05,0.017227162362489504
1,6,0,5,1,-5,-0.0017098504656313984,0.0014376844518621038,0.0002791882474268197,7.02223365752516e-06,0.004106928528941302
1,6,0,6,1,-20,-0.0017098504656313984,0.0016373163861810895,7.800483371878973e-05,5.470754268480831e-06,0.003199551293194893
1,6,0,6,1,-19,-0.0017098504656313984,0.0016373163861810895,8.065993340083952e-05,8.125853950530617e-06,0.004752376955683065
1,6,0,6,1,-18,-0.0017098504656313984,0.0016373163861810895,8.559118875464286e-05,1.3057109304333942e-05,0.007636404215916231
1,6,0,6,1,-17,-0.0017098504656313984,0.0016373163861810895,9.145606055134993e-05,1.892198110104099e-05,0.011066453752172795
1,6,0,6,1,-16,-0.0017098504656313984,0.0016373163861810895,9.522420164944895e-05,2.2690122199140036e-05,0.013270237751908456
1,7,0,6,1,-5,-0.0019182614902478053,0.0016373163861810895,0.0002791882474268197,-1.7568566398962811e-06,0.0009158587861081059
1,7,0,7,1,-20,-0.0019182614902478053,0.001837851339960868,7.800483371878973e-05,-2.4053165681475926e-06,0.0012539044235501326
1,7,0,7,1,-19,-0.0019182614902478053,0.001837851339960868,8.065993340083952e-05,2.497831139021932e-07,0.0001302132765381875
1,7,0,7,1,-18,-0.0019182614902478053,0.001837851339960868,8.559118875464286e-05,5.181038467705519e-06,0.0027009031323650358
1,7,0,7,1,-17,-0.0019182614902478053,0.001837851339960868,9.145606055134993e-05,1.1045910264412566e-05,0.005758292245644586
1,7,0,7,1,-16,-0.0019182614902478053,0.001837851339960868,9.522420164944895e-05,1.4814051362511613e-05,0.007722644403708433
1,7,0,7,1,-15,-0.0019182614902478053,0.001837851339960868,0.00010113155394754835,2.0721403660611034e-05,0.010802178830131338
0,4,2,-17,2,1,-0.0012318460189154454,0.0001574463929714064,0.0010519899754354604,-2.240965050857857e-05,0.01819192509816179
0,4,2,-16,2,1,-0.0012318460189154454,0.000164141180292411,0.0010519899754354604,-1.571486318757394e-05,0.012757165218920612
0,4,2,-15,2,1,-0.0012318460189154454,0.0001737630450045982,0.0010519899754354604,-6.092998475386866e-06,0.0049462338488956
0,4,2,-14,2,1,-0.0012318460189154454,0.0001885234090948795,0.0010519899754354604,8.667365614894442e-06,0.00703607876455651
0,4,2,-13,2,1,-0.0012318460189154454,0.00020158420456533577,0.0010519899754354604,2.1728161085350726e-05,0.017638698954014445
0,5,2,-12,2,2,-0.0014376844518621038,0.0002127844953033229,0.00120515078399613,-1.9749172562650913e-05,0.013736792198782967
0,6,2,-12,2,3,-0.0016373163861810895,0.0002127844953033229,0.001398386150657986,-2.614574021978064e-05,0.015968654830825643
0,7,2,-12,2,4,-0.001837851339960868,0.0002127844953033229,0.0016007680175258506,-2.4298827131694588e-05,0.013221323511515335
