l_a,n_a,l_b,n_b,l_c,n_c,omega_a,omega_b,omega_c,delta,abs_delta_over_omega_a
0,7,0,2,0,3,-0.0026062692536830546,0.0011798492991962658,0.0014621775855854066,3.5757631098617786e-05,0.013719853022893478
0,7,1,-11,1,6,-0.0026062692536830546,0.0001437580474075152,0.0024351438877387426,-2.7367318536796695e-05,0.01050057222526894
0,3,1,-10,1,2,-0.0014621775855854066,0.00015889919592644434,0.001266013124731204,-3.72652649277582e-05,0.02548614155703833
0,6,1,-10,1,5,-0.002318651203932835,0.00015889919592644434,0.0021355630032292776,-2.4189004777113148e-05,0.010432360303302366
0,7,1,-10,1,6,-0.0026062692536830546,0.00015889919592644434,0.0024351438877387426,-1.222617001786757e-05,0.004691061754494527
0,3,1,-9,1,2,-0.0014621775855854066,0.00017797717507655125,0.001266013124731204,-1.8187285777651347e-05,0.012438493078369663
0,5,1,-9,1,4,-0.0020323362563426065,0.00017797717507655125,0.0018277334323597474,-2.6625648906307767e-05,0.013101005713603368
0,6,1,-9,1,5,-0.002318651203932835,0.00017797717507655125,0.0021355630032292776,-5.111025627006511e-06,0.002204309823891288
0,7,1,-9,1,6,-0.0026062692536830546,0.00017797717507655125,0.0024351438877387426,6.851809132239067e-06,0.00262897209202634
0,3,1,-8,1,2,-0.0014621775855854066,0.00020212932241026084,0.001266013124731204,5.964861556058279e-06,0.004079437145570898
0,4,1,-8,1,3,-0.0017464866116996469,0.00020212932241026084,0.0015230431942285095,-2.1314095060876413e-05,0.012203984226443023
0,5,1,-8,1,4,-0.0020323362563426065,0.00020212932241026084,0.0018277334323597474,-2.473501572598357e-06,0.0012170729941361534
0,6,1,-8,1,5,-0.002318651203932835,0.00020212932241026084,0.0021355630032292776,1.9041121706703332e-05,0.008212154408738272
0,7,1,-8,1,6,-0.0026062692536830546,0.00020212932241026084,0.0024351438877387426,3.100395646594891e-05,0.011895914599819495
0,1,1,-7,1,-2,-0.0009131352869099153,0.00023041460695927577,0.0006663994096897862,-1.6321270260853324e-05,0.017873879692115638
0,2,1,-7,1,-1,-0.0011798492991962658,0.00023041460695927577,0.0009336920793671901,-1.5742612869799845e-05,0.013342901403191061
0,3,1,-7,1,2,-0.0014621775855854066,0.00023041460695927577,0.001266013124731204,3.425014610507313e-05,0.02342406725607172
0,4,1,-7,1,3,-0.0017464866116996469,0.00023041460695927577,0.0015230431942285095,6.971189488138435e-06,0.003991550488528629
0,5,1,-7,1,4,-0.0020323362563426065,0.00023041460695927577,0.0018277334323597474,2.581178297641649e-05,0.012700547409840236
0,1,1,-6,1,-2,-0.0009131352869099153,0.00025358538240146105,0.0006663994096897862,6.849505181331949e-06,0.007501084756576362
0,2,1,-6,1,-1,-0.0011798492991962658,0.00025358538240146105,0.0009336920793671901,7.42816257238532e-06,0.006295857087380155
0,3,1,-6,1,1,-0.0014621775855854066,0.00025358538240146105,0.0011896746059310924,-1.89175972528531e-05,0.012937961461965053
0,4,1,-6,1,3,-0.0017464866116996469,0.00025358538240146105,0.0015230431942285095,3.01419649303236e-05,0.017258629255102062
0,3,1,-5,1,1,-0.0014621775855854066,0.00029174540738700856,0.0011896746059310924,1.924242773269436e-05,0.013160116748055839
0,1,1,-3,1,-3,-0.0009131352869099153,0.0004667735584255992,0.0004667735584255992,2.0411829941283034e-05,0.022353566042067487
0,4,1,-3,1,2,-0.0017464866116996469,0.0004667735584255992,0.001266013124731204,-1.3699928542843789e-05,0.007844279166567034
0,6,1,-3,1,4,-0.002318651203932835,0.0004667735584255992,0.0018277334323597474,-2.4144213147488623e-05,0.010413042335361111
0,7,1,-3,1,5,-0.0026062692536830546,0.0004667735584255992,0.0021355630032292776,-3.932692028177712e-06,0.0015089354342880039
1,1,0,1,1,-6,-0.0011896746059310924,0.0009131352869099153,0.00025358538240146105,-2.2953936619716066e-05,0.019294298210014573
1,1,0,1,1,-5,-0.0011896746059310924,0.0009131352869099153,0.00029174540738700856,1.520608836583161e-05,0.012781720556210954
1,2,0,1,1,-4,-0.001266013124731204,0.0009131352869099153,0.000358575525609798,5.697687788509343e-06,0.004500496619826953
