l_a,n_a,l_b,n_b,l_c,n_c,omega_a,omega_b,omega_c,delta,abs_delta_over_omega_a
1,2,0,2,1,-7,-0.0011876060720696538,0.0009538753378151529,0.00021361879346884448,-2.0111940785656366e-05,0.016934858501192297
1,2,0,2,1,-6,-0.0011876060720696538,0.0009538753378151529,0.00025234878420021,1.8618049945709004e-05,0.015676957522845206
1,3,0,2,1,-5,-0.0012725407985733764,0.0009538753378151529,0.00030881498435276556,-9.850476405457885e-06,0.007740794178466485
1,5,0,2,1,-1,-0.001734103264389586,0.0009538753378151529,0.000758058289083616,-2.216963749081713e-05,0.012784496717166936
1,7,0,2,1,3,-0.002215705167770865,0.0009538753378151529,0.0012725407985733764,1.0710968617664088e-05,0.0048341127571769745
1,3,0,3,1,-20,-0.0012725407985733764,0.0011860096719051476,8.072560078089107e-05,-5.805525887337803e-06,0.004562153051474874
1,3,0,3,1,-19,-0.0012725407985733764,0.0011860096719051476,8.478197882193453e-05,-1.7491478462943431e-06,0.0013745318407514184
1,3,0,3,1,-18,-0.0012725407985733764,0.0011860096719051476,9.022666331180865e-05,3.695536643579791e-06,0.0029040614239816856
1,3,0,3,1,-17,-0.0012725407985733764,0.0011860096719051476,9.604201341396486e-05,9.510886745735985e-06,0.007473934632507245
1,3,0,3,1,-16,-0.0012725407985733764,0.0011860096719051476,0.00010005036405775381,1.3519237389524952e-05,0.010623814501414128
1,3,0,3,1,-15,-0.0012725407985733764,0.0011860096719051476,0.00010578880168925861,1.9257675021029912e-05,0.015133247627596191
1,3,0,3,1,-14,-0.0012725407985733764,0.0011860096719051476,0.00011436477230035796,2.783364563212925e-05,0.021872497654560917
1,4,0,3,1,-5,-0.0014878228371177796,0.0011860096719051476,0.00030881498435276556,7.0018191401335136e-06,0.0047060839271008134
1,6,0,3,1,-1,-0.0019747070189232627,0.0011860096719051476,0.000758058289083616,-3.063905793449905e-05,0.01551574873684575
1,4,0,4,1,-20,-0.0014878228371177796,0.00142210207358038,8.072560078089107e-05,1.5004837243491435e-05,0.010085096739447089
1,4,0,4,1,-19,-0.0014878228371177796,0.00142210207358038,8.478197882193453e-05,1.9061215284534895e-05,0.012811481857248817
1,4,0,4,1,-18,-0.0014878228371177796,0.00142210207358038,9.022666331180865e-05,2.450589977440903e-05,0.01647097971817802
1,4,0,4,1,-17,-0.0014878228371177796,0.00142210207358038,9.604201341396486e-05,3.0321249876565223e-05,0.020379610475198616
1,5,0,4,1,-5,-0.001734103264389586,0.00142210207358038,0.00030881498435276556,-3.1862064564405594e-06,0.001837379884964418
1,5,0,5,1,-20,-0.001734103264389586,0.0016579761203197167,8.072560078089107e-05,4.598456711021621e-06,0.002651777898959381
1,5,0,5,1,-19,-0.001734103264389586,0.0016579761203197167,8.478197882193453e-05,8.65483475206508e-06,0.004990956957290332
1,5,0,5,1,-18,-0.001734103264389586,0.0016579761203197167,9.022666331180865e-05,1.4099519241939215e-05,0.008130726428741441
1,5,0,5,1,-17,-0.001734103264389586,0.0016579761203197167,9.604201341396486e-05,1.991486934409541e-05,0.011484246499648654
1,5,0,5,1,-16,-0.001734103264389586,0.0016579761203197167,0.00010005036405775381,2.3923219987884376e-05,0.013795729746409007
1,5,0,5,1,-15,-0.001734103264389586,0.0016579761203197167,0.00010578880168925861,2.9661657619389336e-05,0.01710489693924335
1,6,0,5,1,-5,-0.0019747070189232627,0.0016579761203197167,0.00030881498435276556,-7.915914250780382e-06,0.004008652511447824
1,6,0,6,1,-20,-0.0019747070189232627,0.0018886592089966776,8.072560078089107e-05,-5.322209145694132e-06,0.002695189258301286
1,6,0,6,1,-19,-0.0019747070189232627,0.0018886592089966776,8.478197882193453e-05,-1.265831104650672e-06,0.0006410222339417645
1,6,0,6,1,-18,-0.0019747070189232627,0.0018886592089966776,9.022666331180865e-05,4.178853385223679e-06,0.0021161890575049753
1,6,0,6,1,-17,-0.0019747070189232627,0.0018886592089966776,9.604201341396486e-05,9.994203487379873e-06,0.005061106985293117
1,6,0,6,1,-16,-0.0019747070189232627,0.0018886592089966776,0.00010005036405775381,1.400255413116884e-05,0.007090952732220465
1,6,0,6,1,-15,-0.0019747070189232627,0.0018886592089966776,0.00010578880168925861,1.9740991762673583e-05,0.009996921859039951
1,6,0,6,1,-14,-0.0019747070189232627,0.0018886592089966776,0.00011436477230035796,2.8316962373772705e-05,0.014339829707605401
1,7,0,6,1,-5,-0.002215705167770865,0.0018886592089966776,0.00030881498435276556,-1.8230974421421745e-05,0.00822806873703473
1,7,0,7,1,-20,-0.002215705167770865,0.0021204201710575787,8.072560078089107e-05,-1.4559395932395303e-05,0.006570998770131021
1,7,0,7,1,-19,-0.002215705167770865,0.0021204201710575787,8.478197882193453e-05,-1.0503017891351843e-05,0.004740259689838843
1,7,0,7,1,-18,-0.002215705167770865,0.0021204201710575787,9.022666331180865e-05,-5.058333401477492e-06,0.00228294516574445
1,7,0,7,1,-17,-0.002215705167770865,0.0021204201710575787,9.604201341396486e-05,7.570167006787018e-07,0.00034165949138454505
1,7,0,7,1,-16,-0.002215705167770865,0.0021204201710575787,0.00010005036405775381,4.765367344467669e-06,0.0021507226745613997
1,7,0,7,1,-15,-0.002215705167770865,0.0021204201710575787,0.00010578880168925861,1.0503804975972413e-05,0.004740614919691632
1,7,0,7,1,-14,-0.002215705167770865,0.0021204201710575787,0.00011436477230035796,1.9079775587071534e-05,0.008611152722213017
1,7,0,7,1,-13,-0.002215705167770865,0.0021204201710575787,0.00012421068509566594,2.8925688382379702e-05,0.013054845384271372
0,1,2,-23,2,-4,-0.000738948454077827,0.00012218782020503911,0.0006184286779740842,1.6680441012963164e-06,0.0022573213220642803
0,3,2,-23,2,0,-0.0011860096719051476,0.00012218782020503911,0.0010448703139708233,-1.895153772928527e-05,0.01597924382761774
0,1,2,-22,2,-4,-0.000738948454077827,0.00012851652946638972,0.0006184286779740842,7.99675336264692e-06,0.010821801329331547
0,3,2,-22,2,0,-0.0011860096719051476,0.00012851652946638972,0.0010448703139708233,-1.2622828467934557e-05,0.010643107528505957
0,1,2,-21,2,-4,-0.000738948454077827,0.00013488742619334427,0.0006184286779740842,1.4367650089601447e-05,0.019443372552327212
0,3,2,-21,2,0,-0.0011860096719051476,0.00013488742619334427,0.0010448703139708233,-6.2519317409800296e-06,0.005271400300587122
0,1,2,-20,2,-4,-0.000738948454077827,0.0001393121823523654,0.0006184286779740842,1.879240624862264e-05,0.02543128163394655
0,3,2,-20,2,0,-0.0011860096719051476,0.0001393121823523654,0.0010448703139708233,-1.8271755819589466e-06,0.0015406076571229488
0,1,2,-19,2,-4,-0.000738948454077827,0.00014613674776618418,0.0006184286779740842,2.5616971662441377e-05,0.03466679106110338
0,3,2,-19,2,0,-0.0011860096719051476,0.00014613674776618418,0.0010448703139708233,4.9973898318597925e-06,0.004213616423407602
0,2,2,-18,2,-2,-0.0009538753378151529,0.00015542391434663602,0.0007709839009291044,-2.746752253941255e-05,0.02879571517419329
0,3,2,-18,2,0,-0.0011860096719051476,0.00015542391434663602,0.0010448703139708233,1.4284556412311666e-05,0.01204421578566527
0,2,2,-17,2,-2,-0.0009538753378151529,0.0001654511913622877,0.0007709839009291044,-1.7440245523760796e-05,0.01828356896584369
0,3,2,-17,2,0,-0.0011860096719051476,0.0001654511913622877,0.0010448703139708233,2.4311833427963312e-05,0.020498849211667877
0,2,2,-16,2,-2,-0.0009538753378151529,0.00017249671507286419,0.0007709839009291044,-1.039472181318436e-05,0.010897358806857741
0,2,2,-15,2,-2,-0.0009538753378151529,0.0001819548751341122,0.0007709839009291044,-9.365617519363012e-07,0.0009818492153088807
0,1,2,-14,2,-5,-0.000738948454077827,0.00019644874332665755,0.0005139207856115777,-2.8578925139591802e-05,0.03867512677221439
0,2,2,-14,2,-2,-0.0009538753378151529,0.00019644874332665755,0.0007709839009291044,1.3557306440608978e-05,0.014212870280997018
