l_a,n_a,l_b,n_b,l_c,n_c,omega_a,omega_b,omega_c,delta,abs_delta_over_omega_a
0,6,1,-9,1,5,-0.00341883271154219,0.00018553855431137196,0.0031823543534735717,-5.093980375724637e-05,0.014899764935929873
0,7,1,-9,1,6,-0.003864139090958744,0.00018553855431137196,0.003636423235290603,-4.217730135676898e-05,0.010915057756449506
0,5,1,-8,1,4,-0.0029765770535855798,0.00020804800690486103,0.0027270784208277225,-4.145062585299633e-05,0.013925601490162996
0,6,1,-8,1,5,-0.00341883271154219,0.00020804800690486103,0.0031823543534735717,-2.8430351163757223e-05,0.008315806464520655
0,7,1,-8,1,6,-0.003864139090958744,0.00020804800690486103,0.003636423235290603,-1.9667848763279833e-05,0.005089839754810684
0,4,1,-7,1,3,-0.002557745777422354,0.000237039071685141,0.0022753331501027397,-4.5373555634473355e-05,0.017739665933570587
0,5,1,-7,1,4,-0.0029765770535855798,0.000237039071685141,0.0027270784208277225,-1.245956107271632e-05,0.004185868817912022
0,6,1,-7,1,5,-0.00341883271154219,0.000237039071685141,0.0031823543534735717,5.607136165227886e-07,0.00016400732759745302
0,7,1,-7,1,6,-0.003864139090958744,0.000237039071685141,0.003636423235290603,9.323216017000178e-06,0.0024127537331185885
0,3,1,-6,1,2,-0.0021613830015669586,0.0002756992940930397,0.0018301444786569952,-5.553922881692359e-05,0.025696153239226357
0,4,1,-6,1,3,-0.002557745777422354,0.0002756992940930397,0.0022753331501027397,-6.713333226574577e-06,0.0026247069923188934
0,5,1,-6,1,4,-0.0029765770535855798,0.0002756992940930397,0.0027270784208277225,2.6200661335182458e-05,0.008802278880575654
0,6,1,-6,1,5,-0.00341883271154219,0.0002756992940930397,0.0031823543534735717,3.922093602442157e-05,0.011472025493382366
0,7,1,-6,1,6,-0.003864139090958744,0.0002756992940930397,0.003636423235290603,4.798343842489852e-05,0.012417627133860028
0,2,1,-5,1,1,-0.001765944891624453,0.00032895563126579167,0.001402349345658435,-3.4639914700226307e-05,0.019615512842171324
0,3,1,-5,1,2,-0.0021613830015669586,0.00032895563126579167,0.0018301444786569952,-2.282891644171843e-06,0.0010562180060252131
0,4,1,-5,1,3,-0.002557745777422354,0.00032895563126579167,0.0022753331501027397,4.654300394617717e-05,0.018196884286554194
0,1,1,-4,1,-1,-0.0013670496012871862,0.00040565959020519033,0.0009732323628226527,1.1842351740656756e-05,0.008662708163263599
