l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,delta,kappa,refine,max_abs_n,abs_kappa,mu
6,-1,0,5,-3,0,11,-40,0,-0.0013704000046100727,0.0010461418846491957,0.00032425604628225313,-2.0736786237804394e-09,7.780973917909058,1,40,7.780973917909058,1195395.6632363622
5,-4,0,1,-1,0,6,-40,0,-0.0009859727636264634,0.0007983859159747622,0.00018758670926278566,-1.383889155614354e-10,0.34171284390527906,1,40,0.34171284390527906,156051.4521962236
3,2,0,5,-1,0,6,-30,0,-0.0015200389411412969,0.0012764480458140133,0.0002435928794673727,1.984140089207609e-09,0.6043498563412731,1,30,0.6043498563412731,74127.30052544405
6,2,0,5,1,0,7,-58,0,-0.0016598048850307147,0.0015084316327956082,0.00015136979739541583,-3.4548396905895867e-09,0.6744830755818446,1,58,0.6744830755818446,12780.811091314074
2,-3,0,14,-44,0,16,-60,0,-0.0006815973580812953,0.0003682831806025026,0.00031331382779102796,-3.49687764747246e-10,-0.09464014779221368,1,60,0.09464014779221368,5402.033852730371
4,0,0,5,-4,0,9,-36,0,-0.0012845713174545576,0.0009859727636264634,0.0002986140393180616,1.5485489967366137e-08,2.012116863934588,1,36,2.012116863934588,38796.924419008814
3,0,0,5,-43,0,6,-4,0,-0.0012199596092063406,0.00014777453571070842,0.0010721369249209064,-4.814857472576137e-08,4.913123850230457,1,43,4.913123850230457,109260.87929280818
0,3,0,6,-47,0,6,-3,0,-0.0012493730934220405,0.0001602306370268653,0.0010890596538083064,-8.280258686891619e-08,8.08013155113109,1,47,8.08013155113109,106261.04039386676
6,-1,0,1,2,0,7,-52,0,-0.0013704000046100727,0.0012024296129783663,0.0001679940164803917,2.362484868541695e-08,2.3109582679742813,1,52,2.3109582679742813,16361.555008826937
3,3,0,5,2,0,8,-60,0,-0.001777073431654347,0.0016116456045286907,0.0001653189893341119,-1.0883779154443815e-07,11.835211001774018,1,60,11.835211001774018,17942.1294368504
3,0,0,2,0,0,5,-47,0,-0.0012199596092063406,0.001084184424851423,0.00013582669348353933,5.1509128621684414e-08,4.596747107005311,1,47,4.596747107005311,12117.826992666118
6,2,0,3,2,0,9,-80,0,-0.0016598048850307147,0.0015200389411412969,0.0001395540386632362,-2.1190522618151804e-07,15.140742383934224,1,80,15.140742383934224,9416.790415992486
3,7,0,5,5,0,8,-76,0,-0.0025508556724188006,0.0024198285278438287,0.0001313660770305507,3.3893245557879703e-07,14.927642039521599,1,76,14.927642039521599,5731.672956258753
1,2,0,4,-33,0,5,-3,0,-0.0012024296129783663,0.0001562318111100798,0.0010461418846491957,-5.591721909071687e-08,4.558298412552624,1,33,4.558298412552624,85188.24459727744
4,2,0,4,0,0,8,-34,0,-0.0015653896810087025,0.0012845713174545576,0.00028091397714917097,9.56135950262206e-08,6.093345850879268,1,34,6.093345850879268,17902.302187287125
6,-7,0,6,-10,0,10,-85,0,-0.0007867232250124543,0.0006416215888040751,0.00014510166145037336,2.5241994150264346e-11,0.003023696827059821,2,85,0.003023696827059821,3.5598233472771175
2,-3,0,14,-48,0,14,-48,0,-0.0006815973580812953,0.00034079663401964113,0.00034079663401964113,-4.090042013079644e-09,-0.4521104308953418,1,48,0.4521104308953418,35705.662461807755
4,4,0,6,3,0,10,-79,0,-0.002096571188862388,0.0019398395214352587,0.00015614847297180308,-5.831944553261539e-07,28.458375652820767,1,79,28.458375652820767,7574.1221197846835
2,5,0,5,3,0,7,-54,0,-0.0020500032941760493,0.001888070159604537,0.00016207797876551018,1.4484419399779166e-07,5.148861966457607,1,54,5.148861966457607,5758.704466389978
3,4,0,5,3,0,8,-69,0,-0.002032805134904902,0.001888070159604537,0.0001444771978395598,-2.5777746080497127e-07,16.690069144997683,1,69,16.690069144997683,9336.920512299885
1,5,0,5,-38,0,6,2,0,-0.001826233191021668,0.00016617212366887876,0.0016598048850307147,-2.5618232207444934e-07,11.175813448298026,1,38,11.175813448298026,61015.00737470871
6,2,0,2,2,0,8,-47,0,-0.0016598048850307147,0.0014516366897878896,0.00020830621526108967,1.3802001826461116e-07,6.044312061704765,1,47,6.044312061704765,9121.965653362144
4,5,0,6,4,0,10,-84,0,-0.0023571474246888826,0.0022093157464766807,0.0001469675625518089,-8.641156603928814e-07,29.22506855844831,1,84,29.22506855844831,4927.425155949177
2,-2,0,3,-31,0,5,-8,0,-0.0007958943667934111,0.00012865138222662467,0.0006672400481460154,-2.9364207710345924e-09,0.21474245616058477,1,31,0.21474245616058477,48795.718818980415
