l_a,n_a,l_b,n_b,l_c,n_c,omega_a,omega_b,omega_c,delta,abs_delta_over_omega_a
0,6,0,2,0,2,-0.0019873198889503313,0.001005923918459338,0.001005923918459338,2.4527947968344763e-05,0.012342224371990767
0,7,0,2,0,3,-0.00223171918139612,0.001005923918459338,0.0012493730934220405,2.3577830485258574e-05,0.010564873341505602
0,8,0,2,0,4,-0.0024830482837053364,0.001005923918459338,0.0014963771674694015,1.9252802223403143e-05,0.00775369627314419
0,8,0,3,0,3,-0.0024830482837053364,0.0012493730934220405,0.0012493730934220405,1.5697903138744626e-05,0.0063220289519780835
0,7,1,-13,1,6,-0.00223171918139612,0.00011985463760864163,0.0020806656855415083,-3.119885824597003e-05,0.013979741943362529
0,8,1,-13,1,7,-0.0024830482837053364,0.00011985463760864163,0.0023341170146548044,-2.907663144189037e-05,0.011710054787376377
0,6,1,-12,1,5,-0.0019873198889503313,0.00012847200677059366,0.001826233191021668,-3.261469115806983e-05,0.01641139473288136
0,7,1,-12,1,6,-0.00223171918139612,0.00012847200677059366,0.0020806656855415083,-2.2581489084017893e-05,0.01011842765535194
0,8,1,-12,1,7,-0.0024830482837053364,0.00012847200677059366,0.0023341170146548044,-2.0459262279938235e-05,0.008239574886319906
0,1,1,-11,1,-2,-0.0007792523831311878,0.00014144334735769796,0.0006077803290982369,-3.0028706675253015e-05,0.038535277305911886
0,6,1,-11,1,5,-0.0019873198889503313,0.00014144334735769796,0.001826233191021668,-1.964335057096523e-05,0.009884342566178672
0,7,1,-11,1,6,-0.00223171918139612,0.00014144334735769796,0.0020806656855415083,-9.610148496913724e-06,0.00430616386551905
0,8,1,-11,1,7,-0.0024830482837053364,0.00014144334735769796,0.0023341170146548044,-7.487921692834066e-06,0.0030156166281471546
0,1,1,-10,1,-2,-0.0007792523831311878,0.00015751720241384475,0.0006077803290982369,-1.395485161910623e-05,0.017907999925560598
0,4,1,-10,1,3,-0.0014963771674694015,0.00015751720241384475,0.001313404784959538,-2.5455180096018793e-05,0.017011205897419113
0,5,1,-10,1,4,-0.0017437048376520042,0.00015751720241384475,0.0015644708523005883,-2.171678293757108e-05,0.012454391631334771
0,6,1,-10,1,5,-0.0019873198889503313,0.00015751720241384475,0.001826233191021668,-3.5694955148185548e-06,0.0017961353552919464
0,7,1,-10,1,6,-0.00223171918139612,0.00015751720241384475,0.0020806656855415083,6.463706559232951e-06,0.002896290273935533
0,8,1,-10,1,7,-0.0024830482837053364,0.00015751720241384475,0.0023341170146548044,8.58593336331261e-06,0.003457819736996908
0,1,1,-9,1,-2,-0.0007792523831311878,0.00017278674028511407,0.0006077803290982369,1.3146862521631495e-06,0.0016871122637835052
0,4,1,-9,1,3,-0.0014963771674694015,0.00017278674028511407,0.001313404784959538,-1.0185642224749521e-05,0.006806868245640884
0,5,1,-9,1,4,-0.0017437048376520042,0.00017278674028511407,0.0015644708523005883,-6.447245066301807e-06,0.003697440602953985
0,6,1,-9,1,5,-0.0019873198889503313,0.00017278674028511407,0.001826233191021668,1.1700042356450717e-05,0.005887347286918404
0,7,1,-9,1,6,-0.00223171918139612,0.00017278674028511407,0.0020806656855415083,2.1733244430502223e-05,0.009738341907742322
0,8,1,-9,1,7,-0.0024830482837053364,0.00017278674028511407,0.0023341170146548044,2.385547123458188e-05,0.009607332805862108
0,1,1,-8,1,-2,-0.0007792523831311878,0.00018634866346820567,0.0006077803290982369,1.4876609435254687e-05,0.01909087448084223
0,2,1,-8,1,-1,-0.001005923918459338,0.00018634866346820567,0.0007983859159747622,-2.1189339016370115e-05,0.021064554314230318
0,4,1,-8,1,3,-0.0014963771674694015,0.00018634866346820567,0.001313404784959538,3.376280958342125e-06,0.002256303445241632
0,5,1,-8,1,4,-0.0017437048376520042,0.00018634866346820567,0.0015644708523005883,7.114678116789839e-06,0.0040802078213937575
0,6,1,-8,1,5,-0.0019873198889503313,0.00018634866346820567,0.001826233191021668,2.5261965539542363e-05,0.012711574860192892
0,2,1,-7,1,-1,-0.001005923918459338,0.0002138267578033047,0.0007983859159747622,6.288755318728913e-06,0.0062517206354539235
0,3,1,-7,1,1,-0.0012493730934220405,0.0002138267578033047,0.001029828747806607,-5.717587812128751e-06,0.004576365412567228
0,4,1,-7,1,3,-0.0014963771674694015,0.0002138267578033047,0.001313404784959538,3.085437529344115e-05,0.02061938391215935
0,4,1,-5,1,2,-0.0014963771674694015,0.0003081422333935004,0.0012024296129783663,1.4194678902465204e-05,0.009486030134013964
0,1,1,-4,1,-3,-0.0007792523831311878,0.00035579400850914314,0.0004296315319245508,6.173157302506141e-06,0.00792189723912193
0,2,1,-3,1,-2,-0.001005923918459338,0.0004296315319245508,0.0006077803290982369,3.1487942563449564e-05,0.031302509052251334
0,3,1,-3,1,-1,-0.0012493730934220405,0.0004296315319245508,0.0007983859159747622,-2.135564552272753e-05,0.017093089034144547
0,5,1,-3,1,3,-0.0017437048376520042,0.0004296315319245508,0.001313404784959538,-6.685207679154453e-07,0.00038339101519936473
0,6,1,-3,1,4,-0.0019873198889503313,0.0004296315319245508,0.0015644708523005883,6.782495274807593e-06,0.0034128855211075213
0,7,1,-3,1,5,-0.00223171918139612,0.0004296315319245508,0.001826233191021668,2.4145541550098758e-05,0.010819256182130307
0,8,1,-3,1,6,-0.0024830482837053364,0.0004296315319245508,0.0020806656855415083,2.7248933760722505e-05,0.010973984654080185
0,6,1,-1,1,2,-0.0019873198889503313,0.0007983859159747622,0.0012024296129783663,1.349564000279694e-05,0.006790874522936067
0,7,1,1,1,2,-0.00223171918139612,0.001029828747806607,0.0012024296129783663,5.391793888530859e-07,0.00024159822317599376
0,8,1,2,1,3,-0.0024830482837053364,0.0012024296129783663,0.001313404784959538,3.2786114232567776e-05,0.013203977726781292
1,1,0,1,1,-6,-0.001029828747806607,0.0007792523831311878,0.00025408225350430407,3.505888828884843e-06,0.0034043415823765866
1,2,0,1,1,-3,-0.0012024296129783663,0.0007792523831311878,0.0004296315319245508,6.454302077372369e-06,0.005367717168396528
1,4,0,1,1,-1,-0.0015644708523005883,0.0007792523831311878,0.0007983859159747622,1.3167446805361716e-05,0.008416549778475387
1,5,0,1,1,1,-0.001826233191021668,0.0007792523831311878,0.001029828747806607,-1.7152060083873086e-05,0.009392042685566095
1,6,0,1,1,3,-0.0020806656855415083,0.0007792523831311878,0.001313404784959538,1.1991482549217423e-05,0.005763291350718149
1,7,0,1,1,4,-0.0023341170146548044,0.0007792523831311878,0.0015644708523005883,9.606220776971902e-06,0.004115569492300101
1,8,0,1,1,5,-0.002593514277053763,0.0007792523831311878,0.001826233191021668,1.1971297099092667e-05,0.004615859339973282
1,2,0,2,1,-9,-0.0012024296129783663,0.001005923918459338,0.00017278674028511407,-2.3718954233914154e-05,0.01972585669706132
1,2,0,2,1,-8,-0.0012024296129783663,0.001005923918459338,0.00018634866346820567,-1.0157031050822508e-05,0.008447089909623883
1,2,0,2,1,-7,-0.0012024296129783663,0.001005923918459338,0.0002138267578033047,1.732106328427652e-05,0.014405053815476977
1,3,0,2,1,-5,-0.001313404784959538,0.001005923918459338,0.0003081422333935004,6.613668933005707e-07,0.0005035514571548827
1,5,0,2,1,-1,-0.001826233191021668,0.001005923918459338,0.0007983859159747622,-2.1923356587567715e-05,0.012004686310242183
1,7,0,2,1,3,-0.0023341170146548044,0.001005923918459338,0.001313404784959538,-1.4788311235928477e-05,0.006335719736019978
1,8,0,2,1,4,-0.002593514277053763,0.001005923918459338,0.0015644708523005883,-2.3119506293836547e-05,0.008914354741898837
1,3,0,3,1,-20,-0.001313404784959538,0.0012493730934220405,8.038121933873263e-05,1.6349527801235147e-05,0.012448201794649947
1,3,0,3,1,-19,-0.001313404784959538,0.0012493730934220405,8.510584581936774e-05,2.1074154281870315e-05,0.016045437418228642
1,3,0,3,1,-18,-0.001313404784959538,0.0012493730934220405,8.898542087343055e-05,2.4953729335933095e-05,0.018999267873614337
1,3,0,3,1,-17,-0.001313404784959538,0.0012493730934220405,9.264635405197373e-05,2.861466251447638e-05,0.021786628800319098
1,4,0,3,1,-5,-0.0015644708523005883,0.0012493730934220405,0.0003081422333935004,-6.955525485047298e-06,0.004445928458698381
1,5,0,3,1,-2,-0.001826233191021668,0.0012493730934220405,0.0006077803290982369,3.092023149860938e-05,0.016931151865283624
1,6,0,3,1,-1,-0.0020806656855415083,0.0012493730934220405,0.0007983859159747622,-3.2906676144705844e-05,0.01581545578099042
1,8,0,3,1,3,-0.002593514277053763,0.0012493730934220405,0.001313404784959538,-3.073639867218463e-05,0.011851254856827408
1,4,0,4,1,-20,-0.0015644708523005883,0.0014963771674694015,8.038121933873263e-05,1.2287534507545795e-05,0.007854115332015748
1,4,0,4,1,-19,-0.0015644708523005883,0.0014963771674694015,8.510584581936774e-05,1.7012160988180963e-05,0.01087406707716172
