l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,delta,kappa,refine,max_abs_n,abs_kappa,mu
2,2,0,5,-1,0,7,-34,0,-0.002084498880719699,0.001812525948804219,0.0002719802373871166,7.305471636485927e-09,4.8754207631346835,1,34,4.8754207631346835,150195.4954803914
6,-1,0,3,-1,0,9,-27,0,-0.0019012911358412183,0.0014845828501682254,0.00041671206082531485,3.775152322043132e-09,1.4633039211963077,1,27,1.4633039211963077,157871.6375912
2,3,0,2,-14,0,4,2,0,-0.0024775433149668664,0.0002087895396996841,0.002268735821901042,-1.7953366140098515e-08,5.471854616112113,1,14,5.471854616112113,646421.4996751159
2,-3,0,22,-73,0,24,-62,0,-0.0008582495654269768,0.00038068970477266625,0.0004775596397496315,-2.2090467898926852e-10,-0.11029140367543566,2,73,0.11029140367543566,122.04965289914492
4,4,0,4,3,0,6,-16,0,-0.0032009430000721653,0.0027308744547570513,0.0004700579031739026,-1.0642141211238826e-08,3.4395683008805333,1,16,3.4395683008805333,151923.7607004721
1,5,0,1,1,0,2,1,0,-0.0031823543534735717,0.001402349345658435,0.0017799963786437544,-8.629171382220496e-09,0.7928581699398785,1,5,0.7928581699398785,162964.53843101222
2,5,0,2,-17,0,4,4,0,-0.00337400114289716,0.00017320588075787696,0.0032009430000721653,1.4773793288215542e-07,7.5107076654177405,1,17,7.5107076654177405,151831.02650392518
3,5,0,5,4,0,8,-44,0,-0.00354134869774849,0.003303607934815016,0.00023840206821425388,6.613052807792792e-07,26.853463214162307,1,44,26.853463214162307,9672.183310805174
5,0,0,5,-13,0,6,-4,0,-0.0018543725034762288,0.00048568454635875105,0.0013687079923296551,2.0035212177456005e-08,1.5192843918328995,1,13,1.5192843918328995,103789.52820093754
2,4,0,3,3,0,5,-23,0,-0.002917868855327459,0.0026320577350822383,0.00028559427871878505,-2.168415264357064e-07,9.879699426365285,1,23,9.879699426365285,13012.19443474803
6,2,0,5,1,0,11,-41,0,-0.0024083897755201606,0.0020656660801309525,0.0003427706256586903,4.693026948218021e-08,2.365607507887271,1,41,2.365607507887271,16276.438310925996
3,3,0,6,2,0,9,-53,0,-0.0026320577350822383,0.0024083897755201606,0.0002241391549482656,4.711953861878497e-07,20.70605540513923,1,53,20.70605540513923,
