t_yr,E_P,E_Q,E_c,E_d
0.0,3.4091126383139733e-09,3.4091126383139733e-09,3.4091126383139733e-15,3.409112638313974e-17
0.006966678510478227,3.4091126383139733e-09,3.4091126383139733e-09,2.807477523398919e-11,3.17744758729625e-17
0.013933357020956454,3.4091126383139733e-09,3.4091126383139733e-09,1.1220422709037632e-10,2.9653489934849635e-17
0.020900035531434682,3.4091126383139733e-09,3.4091126383139733e-09,2.522648025998533e-10,2.7709773325677733e-17
0.027866714041912908,3.4091126383139733e-09,3.4091126383139733e-09,4.481295707626484e-10,2.5926811571723455e-17
0.03483339255239114,3.4091126383139733e-09,3.4091126383139733e-09,6.996716320263358e-10,2.4289766244521553e-17
0.041800071062869364,3.4091126383139733e-09,3.4091126383139733e-09,1.006764118650461e-09,2.278529379856429e-17
0.04876674957334759,3.4091126383139733e-09,3.4091126383139733e-09,1.3692801950706334e-09,2.1401385113755028e-17
0.055733428083825816,3.4091126383139733e-09,3.4091126383139733e-09,1.7870930582620686e-09,2.0127223256148394e-17
0.06270010659430404,3.4091126383139733e-09,3.4091126383139733e-09,2.260075938102587e-09,1.8953057275115043e-17
0.06966678510478228,3.4091126383139733e-09,3.4091126383139733e-09,2.7881020977350804e-09,1.7870090136633452e-17
0.0766334636152605,3.4091126383139733e-09,3.4091126383139733e-09,3.371044833929422e-09,1.6870379123330263e-17
0.08360014212573873,3.4091126383139733e-09,3.4091126383139733e-09,4.008777477443854e-09,1.5946747244373493e-17
0.09056682063621695,3.4091126383139733e-09,3.4091126383139733e-09,4.701173393385813e-09,1.5092704372161582e-17
0.09753349914669518,3.4091126383139733e-09,3.4091126383139733e-09,5.448105981572204e-09,1.4302376984110433e-17
0.1045001776571734,3.4091126383139733e-09,3.4091126383139733e-09,6.2494486768891926e-09,1.3570445520515907e-17
0.11146685616765163,3.4091126383139733e-09,3.4091126383139733e-09,7.1050749496513745e-09,1.2892088492272552e-17
0.11843353467812986,3.4091126383139733e-09,3.4091126383139733e-09,8.014858305960444e-09,1.2262932572961708e-17
0.12540021318860808,3.4091126383139733e-09,3.4091126383139733e-09,8.978672288063304e-09,1.1679008003336997e-17
0.13236689169908633,3.4091126383139733e-09,3.4091126383139733e-09,9.996390474709682e-09,1.1136708714195693e-17
0.13933357020956455,3.4091126383139733e-09,3.4091126383139733e-09,1.1067886481509096e-08,1.0632756644338214e-17
0.14630024872004277,3.4091126383139733e-09,3.4091126383139733e-09,1.2193033961287376e-08,1.0164169791253203e-17
0.153266927230521,3.4091126383139733e-09,3.4091126383139733e-09,1.3371706604442583e-08,9.728233585363619e-18
0.16023360574099924,3.4091126383139733e-09,3.4091126383139733e-09,1.4603778139300398e-08,9.322475226510796e-18
0.16720028425147745,3.4091126383139733e-09,3.4091126383139733e-09,1.5889122332468972e-08,8.944640661825928e-18
0.1741669627619557,3.4091126383139733e-09,3.4091126383139733e-09,1.7227612989193206e-08,8.592673921869838e-18
0.1811336412724339,3.4091126383139733e-09,3.4091126383139733e-09,1.8619123953708497e-08,8.264698562565798e-18
0.18810031978291214,3.4091126383139733e-09,3.4091126383139733e-09,2.0063529109593946e-08,7.959000989950678e-18
0.19506699829339036,3.4091126383139733e-09,3.4091126383139733e-09,2.156070238012496e-08,7.674015468847117e-18
0.2020336768038686,3.4091126383139733e-09,3.4091126383139733e-09,2.311051772862539e-08,7.408310639283574e-18
0.2090003553143468,3.4091126383139733e-09,3.4091126383139733e-09,2.471284915881904e-08,7.160577383506112e-18
0.21596703382482504,3.4091126383139733e-09,3.4091126383139733e-09,2.636757071518067e-08,6.929617903880527e-18
0.22293371233530326,3.4091126383139733e-09,3.4091126383139733e-09,2.8074556483286383e-08,6.7143358873435005e-18
0.2299003908457815,3.4091126383139733e-09,3.4091126383139733e-09,2.9833680590163593e-08,6.513727645181428e-18
0.23686706935625973,3.4091126383139733e-09,3.4091126383139733e-09,3.1644817204640276e-08,6.326874129697591e-18
0.24383374786673795,3.4091126383139733e-09,3.4091126383139733e-09,3.350784053769373e-08,6.1529337391717315e-18
0.25080042637721617,3.4091126383139733e-09,3.4091126383139733e-09,3.5422624842798866e-08,5.991135832548925e-18
0.2577671048876944,3.4091126383139733e-09,3.4091126383139733e-09,3.738904441627577e-08,5.840774883769738e-18
0.26473378339817266,3.4091126383139733e-09,3.4091126383139733e-09,3.940697359763688e-08,5.7012052127686406e-18
0.2717004619086509,3.4091126383139733e-09,3.4091126383139733e-09,4.147628676993343e-08,5.571836237031365e-18
0.2786671404191291,3.4091126383139733e-09,3.4091126383139733e-09,4.359685836010156e-08,5.452128194404573e-18
0.2856338189296073,3.4091126383139733e-09,3.4091126383139733e-09,4.5768562839307574e-08,5.341588291784441e-18
0.29260049744008554,3.4091126383139733e-09,3.4091126383139733e-09,4.7991274723292985e-08,5.239767240115709e-18
0.29956717595056376,3.4091126383139733e-09,3.4091126383139733e-09,5.0264868572718625e-08,5.146256140400885e-18
0.306533854461042,3.4091126383139733e-09,3.4091126383139733e-09,5.258921899350854e-08,5.060683689112318e-18
0.3135005329715202,3.4091126383139733e-09,3.4091126383139733e-09,5.4964200637193034e-08,4.9827136746160154e-18
0.32046721148199847,3.4091126383139733e-09,3.4091126383139733e-09,5.738968820125133e-08,4.9120427392925745e-18
0.3274338899924767,3.4091126383139733e-09,3.4091126383139733e-09,5.986555642945366e-08,4.848398385887762e-18
0.3344005685029549,3.4091126383139733e-09,3.4091126383139733e-09,6.239168011220276e-08,4.791537208666131e-18
0.34136724701343313,3.4091126383139733e-09,3.4091126383139733e-09,6.496793408687455e-08,4.741243330844656e-18
0.3483339255239114,3.4091126383139733e-09,3.4091126383139733e-09,6.75941932381588e-08,4.697327034246455e-18
0.35530060403438957,3.4091126383139733e-09,3.4091126383139733e-09,7.027033249839865e-08,4.6596235675837155e-18
0.3622672825448678,3.4091126383139733e-09,3.4091126383139733e-09,7.299622684793018e-08,4.627992121991729e-18
0.369233961055346,3.4091126383139733e-09,3.4091126383139733e-09,7.577175131542052e-08,4.6023149639184946e-18
0.3762006395658243,3.4091126383139733e-09,3.4091126383139733e-09,7.859678097820636e-08,4.582496716990948e-18
0.3831673180763025,3.4091126383139733e-09,3.4091126383139733e-09,8.147119096263127e-08,4.568463786296773e-18
0.3901339965867807,3.4091126383139733e-09,3.4091126383139733e-09,8.439485644438274e-08,4.56016391932651e-18
0.39710067509725894,3.4091126383139733e-09,3.4091126383139733e-09,8.736765264882834e-08,4.557565899324369e-18
0.4040673536077372,3.4091126383139733e-09,3.4091126383139733e-09,9.038945485135184e-08,4.560659368004013e-18
0.41103403211821543,3.4091126383139733e-09,3.4091126383139733e-09,9.346013837768813e-08,4.569454775766467e-18
0.4180007106286936,3.4091126383139733e-09,3.4091126383139733e-09,9.657957860425789e-08,4.583983458716976e-18
0.4249673891391718,3.4091126383139733e-09,3.4091126383139733e-09,9.974765095850177e-08,4.6042978428329874e-18
0.4319340676496501,3.4091126383139733e-09,3.4091126383139733e-09,1.0296423091921407e-07,4.630471776659677e-18
0.4389007461601283,3.4091126383139733e-09,3.4091126383139733e-09,1.0622919401687509e-07,4.662600995339398e-18
0.4458674246706065,3.4091126383139733e-09,3.4091126383139733e-09,1.0954241583398418e-07,4.7008037198453795e-18
0.45283410318108475,3.4091126383139733e-09,3.4091126383139733e-09,1.1290377200539073e-07,4.745221396249516e-18
0.459800781691563,3.4091126383139733e-09,3.4091126383139733e-09,1.1631313821862619e-07,4.7960195812856184e-18
0.46676746020204124,3.4091126383139733e-09,3.4091126383139733e-09,1.197703902142341e-07,4.85338898189087e-18
0.47373413871251946,3.4091126383139733e-09,3.4091126383139733e-09,1.2327540378610018e-07,4.917546657731258e-18
0.4807008172229976,3.4091126383139733e-09,3.4091126383139733e-09,1.2682805478178204e-07,4.988737396946735e-18
0.4876674957334759,3.4091126383139733e-09,3.4091126383139733e-09,1.3042821910283807e-07,5.067235277069349e-18
0.4946341742439541,3.4091126383139733e-09,3.4091126383139733e-09,1.340757727051551e-07,5.15334542538901e-18
0.5016008527544323,3.4091126383139733e-09,3.4091126383139733e-09,1.3777059159927697e-07,5.247405994025005e-18
0.5085675312649106,3.4091126383139733e-09,3.4091126383139733e-09,1.415125518507312e-07,5.3497903673492276e-18
0.5155342097753888,3.4091126383139733e-09,3.4091126383139733e-09,1.4530152958035547e-07,5.460909621961897e-18
