l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,delta,kappa,refine,max_abs_n,abs_kappa,mu
0,18,0,0,7,0,0,10,0,-0.0049693743676990434,0.0021204201710575787,0.002860347040788969,1.1392844147504327e-05,110.77863505039437,1,18,110.77863505039437,27111.75655802546
0,19,0,0,7,0,0,11,0,-0.005233627846213401,0.0021204201710575787,0.0031193002476985927,6.0925725427710825e-06,108.86483964586459,1,19,108.86483964586459,42891.493152427516
0,20,0,0,7,0,0,12,0,-0.005499828254476584,0.0021204201710575787,0.003382501686215069,3.0936027960639517e-06,114.23110397276685,1,20,114.23110397276685,46206.87826664436
0,17,0,0,8,0,0,8,0,-0.004706014722882456,0.002359676960396333,0.002359676960396333,1.3339197910210154e-05,121.43200243432693,1,17,121.43200243432693,21460.339960448782
0,18,0,0,8,0,0,9,0,-0.0049693743676990434,0.002359676960396333,0.0026068407810123807,-2.8566262903293588e-06,110.51365570554424,1,18,110.51365570554424,98538.26292703657
0,19,0,0,8,0,0,10,0,-0.005233627846213401,0.002359676960396333,0.002860347040788969,-1.3603845028098763e-05,104.8859094634269,1,19,104.8859094634269,21659.120933297676
0,20,0,0,8,0,0,11,0,-0.005499828254476584,0.002359676960396333,0.0031193002476985927,-2.0851046381657745e-05,106.8474935934627,1,20,106.8474935934627,15534.139155396562
0,19,0,0,9,0,0,9,0,-0.005233627846213401,0.0026068407810123807,0.0026068407810123807,-1.9946284188639488e-05,102.65639988610108,1,19,102.65639988610108,13409.95075656123
0,1,0,1,-15,-1,1,-2,1,-0.000738948454077827,0.00010578880168925861,0.0006023269048774995,-3.0832747511068946e-05,-0.25982291001361685,1,15,0.25982291001361685,5.075717924540588
0,1,0,1,-15,0,1,-2,0,-0.000738948454077827,0.00010578880168925861,0.0006023269048774995,-3.0832747511068946e-05,0.25982291001361685,1,15,0.25982291001361685,5.075717924540588
0,1,0,1,-15,1,1,-2,-1,-0.000738948454077827,0.00010578880168925861,0.0006023269048774995,-3.0832747511068946e-05,-0.25982291001361685,1,15,0.25982291001361685,5.075717924540588
0,1,0,1,-14,-1,1,-2,1,-0.000738948454077827,0.00011436477230035796,0.0006023269048774995,-2.2256776899969607e-05,-0.2867618965768522,1,14,0.2867618965768522,7.760530933037874
0,1,0,1,-14,0,1,-2,0,-0.000738948454077827,0.00011436477230035796,0.0006023269048774995,-2.2256776899969607e-05,0.2867618965768522,1,14,0.2867618965768522,7.760530933037874
0,1,0,1,-14,1,1,-2,-1,-0.000738948454077827,0.00011436477230035796,0.0006023269048774995,-2.2256776899969607e-05,-0.2867618965768522,1,14,0.2867618965768522,7.760530933037874
0,8,0,1,-14,-1,1,7,1,-0.002359676960396333,0.00011436477230035796,0.002215705167770865,-2.9607020325110155e-05,-1.519202682324611,1,14,1.519202682324611,113.64001147730916
0,8,0,1,-14,0,1,7,0,-0.002359676960396333,0.00011436477230035796,0.002215705167770865,-2.9607020325110155e-05,1.519202682324611,1,14,1.519202682324611,113.64001147730916
0,8,0,1,-14,1,1,7,-1,-0.002359676960396333,0.00011436477230035796,0.002215705167770865,-2.9607020325110155e-05,-1.519202682324611,1,14,1.519202682324611,113.64001147730916
0,9,0,1,-14,-1,1,8,1,-0.0026068407810123807,0.00011436477230035796,0.0024629844882008973,-2.94915205111255e-05,-1.5161759081943287,1,14,1.5161759081943287,126.62082883682754
0,9,0,1,-14,0,1,8,0,-0.0026068407810123807,0.00011436477230035796,0.0024629844882008973,-2.94915205111255e-05,1.5161759081943287,1,14,1.5161759081943287,126.62082883682754
0,9,0,1,-14,1,1,8,-1,-0.0026068407810123807,0.00011436477230035796,0.0024629844882008973,-2.94915205111255e-05,-1.5161759081943287,1,14,1.5161759081943287,126.62082883682754
0,10,0,1,-14,-1,1,9,1,-0.002860347040788969,0.00011436477230035796,0.00271575402351329,-3.0228244975321044e-05,-1.4763568751145986,1,14,1.4763568751145986,132.4935535768377
0,10,0,1,-14,0,1,9,0,-0.002860347040788969,0.00011436477230035796,0.00271575402351329,-3.0228244975321044e-05,1.4763568751145986,1,14,1.4763568751145986,132.4935535768377
0,10,0,1,-14,1,1,9,-1,-0.002860347040788969,0.00011436477230035796,0.00271575402351329,-3.0228244975321044e-05,-1.4763568751145986,1,14,1.4763568751145986,132.4935535768377
0,1,0,1,-13,-1,1,-2,1,-0.000738948454077827,0.00012421068509566594,0.0006023269048774995,-1.2410864104661656e-05,-0.22583812423488026,1,13,0.22583812423488026,10.96042767260998
0,1,0,1,-13,0,1,-2,0,-0.000738948454077827,0.00012421068509566594,0.0006023269048774995,-1.2410864104661656e-05,0.22583812423488026,1,13,0.22583812423488026,10.96042767260998
0,1,0,1,-13,1,1,-2,-1,-0.000738948454077827,0.00012421068509566594,0.0006023269048774995,-1.2410864104661656e-05,-0.22583812423488026,1,13,0.22583812423488026,10.96042767260998
0,4,0,1,-13,-1,1,3,1,-0.00142210207358038,0.00012421068509566594,0.0012725407985733764,-2.53505899113376e-05,-0.9424567496595889,1,13,0.9424567496595889,47.30912895713282
0,4,0,1,-13,0,1,3,0,-0.00142210207358038,0.00012421068509566594,0.0012725407985733764,-2.53505899113376e-05,0.9424567496595889,1,13,0.9424567496595889,47.30912895713282
0,4,0,1,-13,1,1,3,-1,-0.00142210207358038,0.00012421068509566594,0.0012725407985733764,-2.53505899113376e-05,-0.9424567496595889,1,13,0.9424567496595889,47.30912895713282
0,6,0,1,-13,-1,1,5,1,-0.0018886592089966776,0.00012421068509566594,0.001734103264389586,-3.0345259511425568e-05,-1.0883618298456357,1,13,1.0883618298456357,62.190181180345384
0,6,0,1,-13,0,1,5,0,-0.0018886592089966776,0.00012421068509566594,0.001734103264389586,-3.0345259511425568e-05,1.0883618298456357,1,13,1.0883618298456357,62.190181180345384
0,6,0,1,-13,1,1,5,-1,-0.0018886592089966776,0.00012421068509566594,0.001734103264389586,-3.0345259511425568e-05,-1.0883618298456357,1,13,1.0883618298456357,62.190181180345384
0,7,0,1,-13,-1,1,6,1,-0.0021204201710575787,0.00012421068509566594,0.0019747070189232627,-2.1502467038650008e-05,-1.148443993314961,1,13,1.148443993314961,105.39451121354138
0,7,0,1,-13,0,1,6,0,-0.0021204201710575787,0.00012421068509566594,0.0019747070189232627,-2.1502467038650008e-05,1.148443993314961,1,13,1.148443993314961,105.39451121354138
0,7,0,1,-13,1,1,6,-1,-0.0021204201710575787,0.00012421068509566594,0.0019747070189232627,-2.1502467038650008e-05,-1.148443993314961,1,13,1.148443993314961,105.39451121354138
0,8,0,1,-13,-1,1,7,1,-0.002359676960396333,0.00012421068509566594,0.002215705167770865,-1.9761107529801987e-05,-1.1951523307010725,1,13,1.1951523307010725,133.8663454496339
0,8,0,1,-13,0,1,7,0,-0.002359676960396333,0.00012421068509566594,0.002215705167770865,-1.9761107529801987e-05,1.1951523307010725,1,13,1.1951523307010725,133.8663454496339
0,8,0,1,-13,1,1,7,-1,-0.002359676960396333,0.00012421068509566594,0.002215705167770865,-1.9761107529801987e-05,-1.1951523307010725,1,13,1.1951523307010725,133.8663454496339
0,9,0,1,-13,-1,1,8,1,-0.0026068407810123807,0.00012421068509566594,0.0024629844882008973,-1.964560771581733e-05,-1.212002941714005,1,13,1.212002941714005,151.9426547180384
0,9,0,1,-13,0,1,8,0,-0.0026068407810123807,0.00012421068509566594,0.0024629844882008973,-1.964560771581733e-05,1.212002941714005,1,13,1.212002941714005,151.9426547180384
0,9,0,1,-13,1,1,8,-1,-0.0026068407810123807,0.00012421068509566594,0.0024629844882008973,-1.964560771581733e-05,-1.212002941714005,1,13,1.212002941714005,151.9426547180384
0,10,0,1,-13,-1,1,9,1,-0.002860347040788969,0.00012421068509566594,0.00271575402351329,-2.0382332180012876e-05,-1.1944529074222563,1,13,1.1944529074222563,158.76844066869404
0,10,0,1,-13,0,1,9,0,-0.002860347040788969,0.00012421068509566594,0.00271575402351329,-2.0382332180012876e-05,1.1944529074222563,1,13,1.1944529074222563,158.76844066869404
0,10,0,1,-13,1,1,9,-1,-0.002860347040788969,0.00012421068509566594,0.00271575402351329,-2.0382332180012876e-05,-1.1944529074222563,1,13,1.1944529074222563,158.76844066869404
0,11,0,1,-13,-1,1,10,1,-0.0031193002476985927,0.00012421068509566594,0.002973321972018305,-2.17675905846218e-05,-1.1565442293102042,1,13,1.1565442293102042,155.7930497355812
0,11,0,1,-13,0,1,10,0,-0.0031193002476985927,0.00012421068509566594,0.002973321972018305,-2.17675905846218e-05,1.1565442293102042,1,13,1.1565442293102042,155.7930497355812
0,11,0,1,-13,1,1,10,-1,-0.0031193002476985927,0.00012421068509566594,0.002973321972018305,-2.17675905846218e-05,-1.1565442293102042,1,13,1.1565442293102042,155.7930497355812
0,12,0,1,-13,-1,1,11,1,-0.003382501686215069,0.00012421068509566594,0.003235253388057165,-2.3037613062238185e-05,-1.115917853348569,1,13,1.115917853348569,151.25978403009458
0,12,0,1,-13,0,1,11,0,-0.003382501686215069,0.00012421068509566594,0.003235253388057165,-2.3037613062238185e-05,1.115917853348569,1,13,1.115917853348569,151.25978403009458
0,12,0,1,-13,1,1,11,-1,-0.003382501686215069,0.00012421068509566594,0.003235253388057165,-2.3037613062238185e-05,-1.115917853348569,1,13,1.115917853348569,151.25978403009458
0,13,0,1,-13,-1,1,12,1,-0.0036476888013760762,0.00012421068509566594,0.003499927798231137,-2.3550318049273336e-05,-1.0871900468370979,1,13,1.0871900468370979,150.86577967943379
0,13,0,1,-13,0,1,12,0,-0.0036476888013760762,0.00012421068509566594,0.003499927798231137,-2.3550318049273336e-05,1.0871900468370979,1,13,1.0871900468370979,150.86577967943379
0,13,0,1,-13,1,1,12,-1,-0.0036476888013760762,0.00012421068509566594,0.003499927798231137,-2.3550318049273336e-05,-1.0871900468370979,1,13,1.0871900468370979,150.86577967943379
0,14,0,1,-13,-1,1,13,1,-0.003913251472813672,0.00012421068509566594,0.003765557199999308,-2.3483587718698285e-05,-1.072579669905701,1,14,1.072579669905701,153.5872160657154
0,14,0,1,-13,0,1,13,0,-0.003913251472813672,0.00012421068509566594,0.003765557199999308,-2.3483587718698285e-05,1.072579669905701,1,14,1.072579669905701,153.5872160657154
0,14,0,1,-13,1,1,13,-1,-0.003913251472813672,0.00012421068509566594,0.003765557199999308,-2.3483587718698285e-05,-1.072579669905701,1,14,1.072579669905701,153.5872160657154
0,15,0,1,-13,-1,1,14,1,-0.004178287363000028,0.00012421068509566594,0.004030932427920738,-2.3144249983624195e-05,-1.0669232481194124,1,15,1.0669232481194124,157.9325396451118
0,15,0,1,-13,0,1,14,0,-0.004178287363000028,0.00012421068509566594,0.004030932427920738,-2.3144249983624195e-05,1.0669232481194124,1,15,1.0669232481194124,157.9325396451118
0,15,0,1,-13,1,1,14,-1,-0.004178287363000028,0.00012421068509566594,0.004030932427920738,-2.3144249983624195e-05,-1.0669232481194124,1,15,1.0669232481194124,157.9325396451118
0,16,0,1,-13,-1,1,15,1,-0.004442519754188167,0.00012421068509566594,0.004295690809337045,-2.261825975545615e-05,-1.0639515284145324,1,16,1.0639515284145324,163.958772550615
0,16,0,1,-13,0,1,15,0,-0.004442519754188167,0.00012421068509566594,0.004295690809337045,-2.261825975545615e-05,1.0639515284145324,1,16,1.0639515284145324,163.958772550615
