l_a,n_a,l_b,n_b,l_c,n_c,omega_a,omega_b,omega_c,delta,abs_delta_over_omega_a,n_m
0,19,0,7,0,11,-0.005233627846213401,0.0021204201710575787,0.0031193002476985927,6.0925725427710825e-06,0.0011641203237595771,1
0,20,0,7,0,12,-0.005499828254476584,0.0021204201710575787,0.003382501686215069,3.0936027960639517e-06,0.000562490800243792,1
0,17,0,8,0,8,-0.004706014722882456,0.002359676960396333,0.002359676960396333,1.3339197910210154e-05,0.0028344998253723767,1
0,18,0,8,0,9,-0.0049693743676990434,0.002359676960396333,0.0026068407810123807,-2.8566262903293588e-06,0.0005748462641288293,1
0,19,0,8,0,10,-0.005233627846213401,0.002359676960396333,0.002860347040788969,-1.3603845028098763e-05,0.0025993145534681694,1
0,20,0,8,0,11,-0.005499828254476584,0.002359676960396333,0.0031193002476985927,-2.0851046381657745e-05,0.0037912177284237995,1
0,19,0,9,0,9,-0.005233627846213401,0.0026068407810123807,0.0026068407810123807,-1.9946284188639488e-05,0.00381117740403932,1
0,1,1,-15,1,-2,-0.000738948454077827,0.00010578880168925861,0.0006023269048774995,-3.0832747511068946e-05,0.041725166810920214,3
0,1,1,-14,1,-2,-0.000738948454077827,0.00011436477230035796,0.0006023269048774995,-2.2256776899969607e-05,0.03011952562746074,3
0,8,1,-14,1,7,-0.002359676960396333,0.00011436477230035796,0.002215705167770865,-2.9607020325110155e-05,0.012547065052555897,3
0,9,1,-14,1,8,-0.0026068407810123807,0.00011436477230035796,0.0024629844882008973,-2.94915205111255e-05,0.011313126879836639,3
0,10,1,-14,1,9,-0.002860347040788969,0.00011436477230035796,0.00271575402351329,-3.0228244975321044e-05,0.010568034068685313,3
0,1,1,-13,1,-2,-0.000738948454077827,0.00012421068509566594,0.0006023269048774995,-1.2410864104661656e-05,0.016795304241010736,3
0,4,1,-13,1,3,-0.00142210207358038,0.00012421068509566594,0.0012725407985733764,-2.53505899113376e-05,0.017826139475004946,3
0,6,1,-13,1,5,-0.0018886592089966776,0.00012421068509566594,0.001734103264389586,-3.0345259511425568e-05,0.016067091070149198,3
0,7,1,-13,1,6,-0.0021204201710575787,0.00012421068509566594,0.0019747070189232627,-2.1502467038650008e-05,0.010140663313877767,3
0,8,1,-13,1,7,-0.002359676960396333,0.00012421068509566594,0.002215705167770865,-1.9761107529801987e-05,0.008374496959313828,3
0,9,1,-13,1,8,-0.0026068407810123807,0.00012421068509566594,0.0024629844882008973,-1.964560771581733e-05,0.007536174767140114,3
0,10,1,-13,1,9,-0.002860347040788969,0.00012421068509566594,0.00271575402351329,-2.0382332180012876e-05,0.007125824904935598,3
0,11,1,-13,1,10,-0.0031193002476985927,0.00012421068509566594,0.002973321972018305,-2.17675905846218e-05,0.006978356957039272,3
0,12,1,-13,1,11,-0.003382501686215069,0.00012421068509566594,0.003235253388057165,-2.3037613062238185e-05,0.006810820865551932,3
0,13,1,-13,1,12,-0.0036476888013760762,0.00012421068509566594,0.003499927798231137,-2.3550318049273336e-05,0.006456230049117422,3
0,14,1,-13,1,13,-0.003913251472813672,0.00012421068509566594,0.003765557199999308,-2.3483587718698285e-05,0.006001042325504657,3
0,15,1,-13,1,14,-0.004178287363000028,0.00012421068509566594,0.004030932427920738,-2.3144249983624195e-05,0.005539171429082016,3
0,16,1,-13,1,15,-0.004442519754188167,0.00012421068509566594,0.004295690809337045,-2.261825975545615e-05,0.005091313265210106,3
0,17,1,-13,1,16,-0.004706014722882456,0.00012421068509566594,0.00455968102508798,-2.2123012698810514e-05,0.0047010079656657055,3
0,18,1,-13,1,17,-0.0049693743676990434,0.00012421068509566594,0.004823167543880964,-2.1996138722413586e-05,0.004426339634499786,3
0,19,1,-13,1,18,-0.005233627846213401,0.00012421068509566594,0.005087181893000314,-2.2235268117421284e-05,0.004248538255066951,3
0,20,1,-13,1,19,-0.005499828254476584,0.00012421068509566594,0.0053527772990706515,-2.284027031026689e-05,0.0041529061005997885,3
0,1,1,-12,1,-2,-0.000738948454077827,0.0001317052176195001,0.0006023269048774995,-4.916331580827457e-06,0.006653145498440494,3
0,4,1,-12,1,3,-0.00142210207358038,0.0001317052176195001,0.0012725407985733764,-1.7856057387503508e-05,0.012556101083903136,3
0,6,1,-12,1,5,-0.0018886592089966776,0.0001317052176195001,0.001734103264389586,-2.2850726987591477e-05,0.012098914869734806,3
0,7,1,-12,1,6,-0.0021204201710575787,0.0001317052176195001,0.0019747070189232627,-1.40079345148157e-05,0.006606206970682191,3
0,8,1,-12,1,7,-0.002359676960396333,0.0001317052176195001,0.002215705167770865,-1.226657500596768e-05,0.005198412838640158,3
0,9,1,-12,1,8,-0.0026068407810123807,0.0001317052176195001,0.0024629844882008973,-1.2151075191983024e-05,0.0046612264471572705,3
0,10,1,-12,1,9,-0.002860347040788969,0.0001317052176195001,0.00271575402351329,-1.2887799656178568e-05,0.0045056769239524615,3
0,11,1,-12,1,10,-0.0031193002476985927,0.0001317052176195001,0.002973321972018305,-1.4273058060787491e-05,0.0045757243379562764,3
0,12,1,-12,1,11,-0.003382501686215069,0.0001317052176195001,0.003235253388057165,-1.5543080538403878e-05,0.004595143470806715,3
0,13,1,-12,1,12,-0.0036476888013760762,0.0001317052176195001,0.003499927798231137,-1.605578552543903e-05,0.00440163248558431,3
0,14,1,-12,1,13,-0.003913251472813672,0.0001317052176195001,0.003765557199999308,-1.5989055194863978e-05,0.004085874701879985,3
0,15,1,-12,1,14,-0.004178287363000028,0.0001317052176195001,0.004030932427920738,-1.5649717459789887e-05,0.0037454861526214716,3
0,16,1,-12,1,15,-0.004442519754188167,0.0001317052176195001,0.004295690809337045,-1.5123727231621843e-05,0.0034043128828777887,3
0,17,1,-12,1,16,-0.004706014722882456,0.0001317052176195001,0.00455968102508798,-1.4628480174976206e-05,0.003108464600386162,3
0,18,1,-12,1,17,-0.0049693743676990434,0.0001317052176195001,0.004823167543880964,-1.4501606198579278e-05,0.002918195556535202,3
0,19,1,-12,1,18,-0.005233627846213401,0.0001317052176195001,0.005087181893000314,-1.4740735593586976e-05,0.002816542564112978,3
0,20,1,-12,1,19,-0.005499828254476584,0.0001317052176195001,0.0053527772990706515,-1.5345737786432584e-05,0.0027902212717173347,3
0,1,1,-11,1,-2,-0.000738948454077827,0.00014098639381203223,0.0006023269048774995,4.36484461170466e-06,0.005906832320465141,3
0,4,1,-11,1,3,-0.00142210207358038,0.00014098639381203223,0.0012725407985733764,-8.574881194971283e-06,0.0060297227282585875,3
0,5,1,-11,1,4,-0.0016579761203197167,0.00014098639381203223,0.0014878228371177796,-2.916688938990478e-05,0.017591863376343664,3
0,6,1,-11,1,5,-0.0018886592089966776,0.00014098639381203223,0.001734103264389586,-1.3569550795059252e-05,0.007184753464479109,3
0,7,1,-11,1,6,-0.0021204201710575787,0.00014098639381203223,0.0019747070189232627,-4.726758322283909e-06,0.0022291611760731343,3
