l_c,n_c,l_d,n_d,kappa_m0,kappa_max,m_max,n_m,refine
6,-27,9,-83,-0.553824194465871,-0.9217654955488579,"(-2, -7, 9)",205,2
12,-57,17,-163,-0.46183214261981315,0.8934353571134026,"(-4, -13, 17)",719,2
12,-57,13,-128,-0.6483112952521123,1.1607775917934178,"(-6, -7, 13)",511,2
6,-27,14,-128,-0.29162019968795155,-0.5436190529421696,"(-1, -13, 14)",335,2
12,-57,9,-86,-1.606155164236249,-2.858455254044201,"(-12, 6, 6)",319,2
12,-57,8,-77,-1.5743878643255977,-2.8019193679988614,"(-12, 6, 6)",269,2
12,-57,18,-175,-0.44816744569844835,-0.8779935424093768,"(-4, -14, 18)",769,2
12,-57,13,-125,-0.6864044892856572,1.2289820583171758,"(-6, -7, 13)",511,2
10,-45,5,-48,-4.925327957546975,-8.40105617077734,"(-10, 5, 5)",121,1
12,-57,24,-231,-0.24038540402684166,0.5041211377246932,"(-3, -21, 24)",1069,2
6,-27,25,-225,-0.30073283851942934,-0.6342378453390507,"(0, -25, 25)",621,2
6,-27,11,-101,-0.36319056660856675,0.623414700401767,"(-1, -10, 11)",257,2
12,-57,10,-95,-1.558439638907045,-2.773536500791893,"(-12, 6, 6)",369,1
12,-57,12,-119,-0.8083423380491861,-1.4385972505724811,"(-12, 6, 6)",469,2
12,-57,21,-203,-0.29863525135194063,-0.6070859125628633,"(-3, -18, 21)",919,1
12,-57,15,-144,-0.4925762176984327,-0.919942774397411,"(-5, -10, 15)",619,1
6,-27,10,-92,-0.4475379332949191,0.7514743923449283,"(-2, -8, 10)",231,1
12,-57,18,-172,-0.46884812764203493,-0.9185085449455345,"(-4, -14, 18)",769,2
12,-57,12,-115,-0.846407138465991,-1.5063407234126587,"(-12, 6, 6)",469,2
12,-57,24,-229,-0.22209090410040572,0.4657550640674547,"(-3, -21, 24)",1069,2
12,-53,7,-65,-2.2116625088820627,-3.936069477878056,"(-12, 6, 6)",219,1
12,-57,6,-56,-3.34102489185771,-5.945982286564762,"(-12, 6, 6)",169,2
12,-57,10,-94,-1.7851819069902488,-3.177067020101635,"(-12, 6, 6)",369,1
12,-57,15,-147,-0.4770103985549633,-0.8908718157637805,"(-5, -10, 15)",619,2
12,-57,11,-104,-1.491494632493599,-2.6543952686273373,"(-12, 6, 6)",419,2
4,-20,3,-32,1.810773016696401,2.5250023336606278,"(-4, 2, 2)",43,1
12,-57,16,-153,-0.4858423524001825,-0.9189574909221185,"(-4, -12, 16)",669,1
12,-57,17,-166,-0.4696542442334276,0.9085675696720468,"(-4, -13, 17)",719,2
12,-57,20,-191,-0.3420809581022118,0.6816933638388046,"(-3, -17, 20)",869,2
6,-27,20,-181,-0.29720333583324793,-0.57899242839354,"(-1, -19, 20)",491,2
12,-57,11,-111,-1.2663853264900748,-2.2537709125203733,"(-12, 6, 6)",419,2
6,-27,21,-190,-0.3184149568303925,0.6205001347482442,"(-1, -20, 21)",515,2
12,-57,7,-67,-1.5475692685130298,-2.754190631813559,"(-12, 6, 6)",219,2
12,-57,6,-55,-3.4389596947456225,-6.120275691151092,"(-12, 6, 6)",169,1
12,-57,22,-210,-0.2559043868758037,0.5278610096567535,"(-3, -19, 22)",969,2
6,-10,3,-12,3.449844377960366,5.243309507959059,"(-6, 3, 3)",49,1
12,-57,20,-194,-0.32144485923243443,0.640570081990272,"(-3, -17, 20)",869,2
12,-57,12,-114,-0.9876118543178115,-1.7576410777681424,"(-12, 6, 6)",469,2
12,-57,6,-54,-3.9088053045473563,-6.956454338041705,"(-12, 6, 6)",169,1
12,-57,23,-222,-0.23991358410339608,-0.49991803460265627,"(-3, -20, 23)",1019,2
12,-57,9,-85,-1.5301384510080527,-2.7231692130933265,"(-12, 6, 6)",319,1
12,-56,9,-87,-1.3532374436545795,-2.4083405930604544,"(-12, 6, 6)",319,2
6,-27,17,-154,-0.35063986755523446,0.67612034048502,"(-1, -16, 17)",413,2
12,-57,25,-238,-0.22915296474185431,-0.48213622973007736,"(-3, -22, 25)",1119,2
6,-27,3,-29,-3.426117673400133,-5.20724803909752,"(-6, 3, 3)",49,1
