gyre [9.1.1]
------------

OpenMP Threads   : 12
Input filename   : gyre_ad_wide_hi.in

Model Init
----------

Reading from MESA file
   File name ../mesa/LOGS/profile331.data.GYRE
   File version 1.01
   Read 7137 points
   No need to add central point

Mode Search
-----------

Mode parameters
   l : 16
   m : 0

Building frequency grid (REAL axis)
   added scan interval :  0.5234E+00 ->  0.2094E+01 (3000 points, INVERSE)

Building spatial grid
   Scaffold grid from model
   Split 266 subinterval(s) in iteration 1
   Split 25 subinterval(s) in iteration 2
   Split 0 subinterval(s) in iteration 3
   Final grid has 1 segment(s) and 7428 point(s):
      Segment 1 : x range 0.0000 -> 1.0012 (1 -> 7428)

Starting search (adiabatic)

Scanning frequencies
  Time elapsed :     2.085 s

Finding roots
  Time elapsed :      0.429 s

Processing modes
   id    l     m    n_pg    n_p    n_g       Re(omega)       Im(omega)        chi n_iter
  363   18     0    -129      0    129  0.82063395E+00  0.00000000E+00 0.1689E-12      5
  364   18     0    -128      0    128  0.82742154E+00  0.00000000E+00 0.2046E-12      6
  365   18     0    -127      0    127  0.83375638E+00  0.00000000E+00 0.2914E-12      6
  366   18     0    -126      0    126  0.83954945E+00  0.00000000E+00 0.1825E-13      5
  367   18     0    -125      0    125  0.84621437E+00  0.00000000E+00 0.8199E-12      5
  368   18     0    -124      0    124  0.85344234E+00  0.00000000E+00 0.6939E-13      6
  369   18     0    -123      0    123  0.86011454E+00  0.00000000E+00 0.1505E-12      6
  370   18     0    -122      0    122  0.86624432E+00  0.00000000E+00 0.1765E-12      6
  371   18     0    -121      0    121  0.87338161E+00  0.00000000E+00 0.8351E-13      5
  372   18     0    -120      0    120  0.88109679E+00  0.00000000E+00 0.1917E-12      6
  373   18     0    -119      0    119  0.88818125E+00  0.00000000E+00 0.1161E-12      6
  374   18     0    -118      0    118  0.89468628E+00  0.00000000E+00 0.5261E-13      6
  375   18     0    -117      0    117  0.90231036E+00  0.00000000E+00 0.2261E-12      5
  376   18     0    -116      0    116  0.91054651E+00  0.00000000E+00 0.4799E-13      6
  377   18     0    -115      0    115  0.91807273E+00  0.00000000E+00 0.1182E-12      6
  378   18     0    -114      0    114  0.92498390E+00  0.00000000E+00 0.1324E-12      5
  379   18     0    -113      0    113  0.93314261E+00  0.00000000E+00 0.7540E-13      5
  380   18     0    -112      0    112  0.94194905E+00  0.00000000E+00 0.5282E-13      6
  381   18     0    -111      0    111  0.94995961E+00  0.00000000E+00 0.8143E-13      6
  382   18     0    -110      0    110  0.95728383E+00  0.00000000E+00 0.2988E-12      6
  383   18     0    -109      0    109  0.96599121E+00  0.00000000E+00 0.5730E-13      5
  384   18     0    -108      0    108  0.97541820E+00  0.00000000E+00 0.1240E-12      6
  385   18     0    -107      0    107  0.98401693E+00  0.00000000E+00 0.1359E-13      6
  386   18     0    -106      0    106  0.99180359E+00  0.00000000E+00 0.6799E-15      6
  387   18     0    -105      0    105  0.10010682E+01  0.00000000E+00 0.2167E-12      5
  388   18     0    -104      0    104  0.10111921E+01  0.00000000E+00 0.8606E-13      5
  389   18     0    -103      0    103  0.10205162E+01  0.00000000E+00 0.1178E-12      6
  390   18     0    -102      0    102  0.10287912E+01  0.00000000E+00 0.1151E-12      6
  391   18     0    -101      0    101  0.10386096E+01  0.00000000E+00 0.4801E-12      5
  392   18     0    -100      0    100  0.10495164E+01  0.00000000E+00 0.7047E-13      6
  393   18     0     -99      0     99  0.10597103E+01  0.00000000E+00 0.5273E-13      6
  394   18     0     -98      0     98  0.10685686E+01  0.00000000E+00 0.1895E-12      6
  395   18     0     -97      0     97  0.10789852E+01  0.00000000E+00 0.1547E-12      5
  396   18     0     -96      0     96  0.10907830E+01  0.00000000E+00 0.1542E-12      5
  397   18     0     -95      0     95  0.11019767E+01  0.00000000E+00 0.2777E-12      6
  398   18     0     -94      0     94  0.11115570E+01  0.00000000E+00 0.3204E-12      6
  399   18     0     -93      0     93  0.11226945E+01  0.00000000E+00 0.4240E-12      6
  400   18     0     -92      0     92  0.11355242E+01  0.00000000E+00 0.3092E-12      6
  401   18     0     -91      0     91  0.11478467E+01  0.00000000E+00 0.3369E-12      6
  402   18     0     -90      0     90  0.11582656E+01  0.00000000E+00 0.5351E-13      6
  403   18     0     -89      0     89  0.11702162E+01  0.00000000E+00 0.1404E-12      6
  404   18     0     -88      0     88  0.11841955E+01  0.00000000E+00 0.9202E-14      6
  405   18     0     -87      0     87  0.11977985E+01  0.00000000E+00 0.2867E-12      6
  406   18     0     -86      0     86  0.12092028E+01  0.00000000E+00 0.1605E-12      5
  407   18     0     -85      0     85  0.12220324E+01  0.00000000E+00 0.8489E-13      6
  408   18     0     -84      0     84  0.12373033E+01  0.00000000E+00 0.3869E-13      6
  409   18     0     -83      0     83  0.12523589E+01  0.00000000E+00 0.4287E-12      6
  410   18     0     -82      0     82  0.12648422E+01  0.00000000E+00 0.8161E-13      5
  411   18     0     -81      0     81  0.12786497E+01  0.00000000E+00 0.1739E-12      5
  412   18     0     -80      0     80  0.12953903E+01  0.00000000E+00 0.1652E-13      5
  413   18     0     -79      0     79  0.13120287E+01  0.00000000E+00 0.1795E-13      6
  414   18     0     -78      0     78  0.13256996E+01  0.00000000E+00 0.4173E-13      5
  415   18     0     -77      0     77  0.13407162E+01  0.00000000E+00 0.2831E-12      6
  416   18     0     -76      0     76  0.13591589E+01  0.00000000E+00 0.5118E-13      5
  417   18     0     -75      0     75  0.13775779E+01  0.00000000E+00 0.1934E-13      6
  418   18     0     -74      0     74  0.13926024E+01  0.00000000E+00 0.8569E-13      5
  419   18     0     -73      0     73  0.14089804E+01  0.00000000E+00 0.2087E-12      6
  420   18     0     -72      0     72  0.14292748E+01  0.00000000E+00 0.2539E-13      6
  421   18     0     -71      0     71  0.14495493E+01  0.00000000E+00 0.1175E-12      6
  422   18     0     -70      0     70  0.14659394E+01  0.00000000E+00 0.5322E-13      5
  423   18     0     -69      0     69  0.14839506E+01  0.00000000E+00 0.1958E-12      6
  424   18     0     -68      0     68  0.15064188E+01  0.00000000E+00 0.2477E-13      6
  425   18     0     -67      0     67  0.15288931E+01  0.00000000E+00 0.2155E-13      6
  426   18     0     -66      0     66  0.15468575E+01  0.00000000E+00 0.5330E-13      6
  427   18     0     -65      0     65  0.15667571E+01  0.00000000E+00 0.7987E-13      6
  428   18     0     -64      0     64  0.15918108E+01  0.00000000E+00 0.1017E-12      5
  429   18     0     -63      0     63  0.16167049E+01  0.00000000E+00 0.7372E-14      6
  430   18     0     -62      0     62  0.16361963E+01  0.00000000E+00 0.1046E-12      6
  431   18     0     -61      0     61  0.16586319E+01  0.00000000E+00 0.1197E-13      6
  432   18     0     -60      0     60  0.16867748E+01  0.00000000E+00 0.6095E-13      5
  433   18     0     -59      0     59  0.17143369E+01  0.00000000E+00 0.8611E-13      6
  Time elapsed :      2.820 s

Mode Search
-----------

Mode parameters
   l : 19
   m : 0

Building frequency grid (REAL axis)
   added scan interval :  0.5234E+00 ->  0.2094E+01 (3000 points, INVERSE)

Building spatial grid
   Scaffold grid from model
   Split 277 subinterval(s) in iteration 1
   Split 28 subinterval(s) in iteration 2
   Split 0 subinterval(s) in iteration 3
   Final grid has 1 segment(s) and 7442 point(s):
      Segment 1 : x range 0.0000 -> 1.0012 (1 -> 7442)

Starting search (adiabatic)

Scanning frequencies
  Time elapsed :     0.830 s

Finding roots
  Time elapsed :      0.194 s

Processing modes
   id    l     m    n_pg    n_p    n_g       Re(omega)       Im(omega)        chi n_iter
  471   19     0    -189      0    189  0.59412318E+00  0.00000000E+00 0.1559E-12      5
  472   19     0    -188      0    188  0.59736520E+00  0.00000000E+00 0.2830E-12      6
  473   19     0    -187      0    187  0.60071411E+00  0.00000000E+00 0.1864E-12      6
  474   19     0    -186      0    186  0.60381480E+00  0.00000000E+00 0.4377E-12      6
  475   19     0    -185      0    185  0.60682954E+00  0.00000000E+00 0.2860E-12      5
  476   19     0    -184      0    184  0.61018043E+00  0.00000000E+00 0.2722E-12      6
  477   19     0    -183      0    183  0.61364932E+00  0.00000000E+00 0.2866E-13      6
  478   19     0    -182      0    182  0.61688121E+00  0.00000000E+00 0.3040E-12      5
  479   19     0    -181      0    181  0.62005424E+00  0.00000000E+00 0.3672E-12      5
  480   19     0    -180      0    180  0.62356256E+00  0.00000000E+00 0.3081E-12      6
  481   19     0    -179      0    179  0.62717539E+00  0.00000000E+00 0.3012E-12      6
  482   19     0    -178      0    178  0.63054201E+00  0.00000000E+00 0.1638E-12      6
  483   19     0    -177      0    177  0.63386539E+00  0.00000000E+00 0.1406E-12      5
  484   19     0    -176      0    176  0.63752710E+00  0.00000000E+00 0.4014E-12      5
  485   19     0    -175      0    175  0.64127306E+00  0.00000000E+00 0.2883E-12      6
  486   19     0    -174      0    174  0.64477289E+00  0.00000000E+00 0.3876E-12      6
  487   19     0    -173      0    173  0.64828773E+00  0.00000000E+00 0.1214E-11      5
  488   19     0    -172      0    172  0.65214643E+00  0.00000000E+00 0.5042E-12      6
  489   19     0    -171      0    171  0.65605284E+00  0.00000000E+00 0.1067E-12      6
  490   19     0    -170      0    170  0.65967692E+00  0.00000000E+00 0.1179E-12      6
  491   19     0    -169      0    169  0.66335275E+00  0.00000000E+00 0.2731E-12      5
  492   19     0    -168      0    168  0.66740847E+00  0.00000000E+00 0.2096E-12      5
  493   19     0    -167      0    167  0.67149426E+00  0.00000000E+00 0.1102E-12      5
  494   19     0    -166      0    166  0.67527413E+00  0.00000000E+00 0.3251E-13      6
  495   19     0    -165      0    165  0.67914746E+00  0.00000000E+00 0.1066E-12      5
  496   19     0    -164      0    164  0.68342762E+00  0.00000000E+00 0.5400E-12      6
  497   19     0    -163      0    163  0.68770355E+00  0.00000000E+00 0.1884E-12      6
  498   19     0    -162      0    162  0.69161140E+00  0.00000000E+00 0.3318E-12      6
  499   19     0    -161      0    161  0.69567033E+00  0.00000000E+00 0.1207E-12      5
  500   19     0    -160      0    160  0.70019756E+00  0.00000000E+00 0.1093E-12      6
  501   19     0    -159      0    159  0.70470113E+00  0.00000000E+00 0.1319E-12      6
  502   19     0    -158      0    158  0.70878773E+00  0.00000000E+00 0.2281E-12      5
  503   19     0    -157      0    157  0.71305430E+00  0.00000000E+00 0.2901E-12      5
  504   19     0    -156      0    156  0.71782925E+00  0.00000000E+00 0.5660E-13      6
  505   19     0    -155      0    155  0.72255714E+00  0.00000000E+00 0.1872E-12      6
  506   19     0    -154      0    154  0.72681170E+00  0.00000000E+00 0.6645E-13      5
  507   19     0    -153      0    153  0.73129899E+00  0.00000000E+00 0.1042E-12      5
  508   19     0    -152      0    152  0.73635470E+00  0.00000000E+00 0.3067E-13      6
  509   19     0    -151      0    151  0.74135920E+00  0.00000000E+00 0.4085E-12      6
  510   19     0    -150      0    150  0.74583059E+00  0.00000000E+00 0.5114E-13      6
  511   19     0    -149      0    149  0.75052968E+00  0.00000000E+00 0.3821E-12      5
  512   19     0    -148      0    148  0.75584711E+00  0.00000000E+00 0.4482E-13      6
  513   19     0    -147      0    147  0.76110374E+00  0.00000000E+00 0.1254E-13      6
  514   19     0    -146      0    146  0.76580856E+00  0.00000000E+00 0.1669E-12      5
  515   19     0    -145      0    145  0.77079491E+00  0.00000000E+00 0.1849E-13      5
  516   19     0    -144      0    144  0.77641446E+00  0.00000000E+00 0.9418E-13      6
  517   19     0    -143      0    143  0.78193270E+00  0.00000000E+00 0.1729E-12      6
  518   19     0    -142      0    142  0.78687848E+00  0.00000000E+00 0.5892E-13      5
  519   19     0    -141      0    141  0.79217776E+00  0.00000000E+00 0.3168E-12      5
  520   19     0    -140      0    140  0.79811544E+00  0.00000000E+00 0.6360E-13      6
  521   19     0    -139      0    139  0.80389125E+00  0.00000000E+00 0.4831E-12      6
  522   19     0    -138      0    138  0.80909255E+00  0.00000000E+00 0.1083E-12      5
  523   19     0    -137      0    137  0.81476468E+00  0.00000000E+00 0.5755E-13      5
  524   19     0    -136      0    136  0.82107975E+00  0.00000000E+00 0.6284E-13      6
  525   19     0    -135      0    135  0.82715549E+00  0.00000000E+00 0.2852E-12      6
  526   19     0    -134      0    134  0.83259730E+00  0.00000000E+00 0.3309E-12      5
  527   19     0    -133      0    133  0.83863408E+00  0.00000000E+00 0.5430E-13      5
  528   19     0    -132      0    132  0.84535628E+00  0.00000000E+00 0.1456E-12      5
  529   19     0    -131      0    131  0.85177935E+00  0.00000000E+00 0.1201E-12      6
  530   19     0    -130      0    130  0.85752777E+00  0.00000000E+00 0.2879E-12      5
  531   19     0    -129      0    129  0.86396011E+00  0.00000000E+00 0.2116E-12      5
  532   19     0    -128      0    128  0.87108809E+00  0.00000000E+00 0.1233E-12      6
  533   19     0    -127      0    127  0.87782805E+00  0.00000000E+00 0.2003E-12      6
  534   19     0    -126      0    126  0.88390846E+00  0.00000000E+00 0.1275E-12      5
  535   19     0    -125      0    125  0.89081987E+00  0.00000000E+00 0.1919E-12      5
  536   19     0    -124      0    124  0.89841565E+00  0.00000000E+00 0.9082E-13      6
  537   19     0    -123      0    123  0.90552489E+00  0.00000000E+00 0.2949E-12      6
  538   19     0    -122      0    122  0.91194752E+00  0.00000000E+00 0.1121E-12      6
  539   19     0    -121      0    121  0.91934183E+00  0.00000000E+00 0.1752E-12      5
  540   19     0    -120      0    120  0.92745183E+00  0.00000000E+00 0.1648E-12      6
  541   19     0    -119      0    119  0.93501002E+00  0.00000000E+00 0.1476E-13      6
  542   19     0    -118      0    118  0.94181885E+00  0.00000000E+00 0.2723E-13      6
  543   19     0    -117      0    117  0.94970587E+00  0.00000000E+00 0.9915E-13      5
  544   19     0    -116      0    116  0.95836324E+00  0.00000000E+00 0.7418E-14      6
  545   19     0    -115      0    115  0.96640443E+00  0.00000000E+00 0.4858E-13      6
  546   19     0    -114      0    114  0.97362914E+00  0.00000000E+00 0.4671E-12      5
  547   19     0    -113      0    113  0.98205438E+00  0.00000000E+00 0.3581E-13      5
  548   19     0    -112      0    112  0.99130939E+00  0.00000000E+00 0.6221E-13      6
  549   19     0    -111      0    111  0.99988229E+00  0.00000000E+00 0.7791E-13      6
  550   19     0    -110      0    110  0.10075329E+01  0.00000000E+00 0.1895E-12      6
  551   19     0    -109      0    109  0.10165062E+01  0.00000000E+00 0.3155E-12      5
  552   19     0    -108      0    108  0.10264080E+01  0.00000000E+00 0.2776E-12      6
  553   19     0    -107      0    107  0.10356211E+01  0.00000000E+00 0.7817E-13      6
  554   19     0    -106      0    106  0.10437635E+01  0.00000000E+00 0.5396E-13      6
  555   19     0    -105      0    105  0.10532849E+01  0.00000000E+00 0.4081E-12      5
  556   19     0    -104      0    104  0.10639014E+01  0.00000000E+00 0.2689E-12      6
  557   19     0    -103      0    103  0.10738956E+01  0.00000000E+00 0.1167E-12      6
  558   19     0    -102      0    102  0.10825789E+01  0.00000000E+00 0.1211E-12      6
  559   19     0    -101      0    101  0.10926290E+01  0.00000000E+00 0.1203E-12      6
  560   19     0    -100      0    100  0.11040377E+01  0.00000000E+00 0.1451E-12      5
  561   19     0     -99      0     99  0.11149604E+01  0.00000000E+00 0.1343E-12      6
  562   19     0     -98      0     98  0.11243082E+01  0.00000000E+00 0.1358E-12      6
  563   19     0     -97      0     97  0.11349263E+01  0.00000000E+00 0.3061E-12      6
  564   19     0     -96      0     96  0.11472363E+01  0.00000000E+00 0.8488E-13      6
  565   19     0     -95      0     95  0.11592240E+01  0.00000000E+00 0.1328E-12      6
  566   19     0     -94      0     94  0.11693931E+01  0.00000000E+00 0.3454E-13      5
  567   19     0     -93      0     93  0.11807068E+01  0.00000000E+00 0.6353E-13      6
  568   19     0     -92      0     92  0.11940592E+01  0.00000000E+00 0.4323E-13      5
  569   19     0     -91      0     91  0.12072398E+01  0.00000000E+00 0.1071E-12      6
  570   19     0     -90      0     90  0.12183552E+01  0.00000000E+00 0.1439E-12      5
  571   19     0     -89      0     89  0.12304535E+01  0.00000000E+00 0.1498E-12      6
  572   19     0     -88      0     88  0.12449589E+01  0.00000000E+00 0.1177E-12      6
  573   19     0     -87      0     87  0.12594815E+01  0.00000000E+00 0.1200E-13      5
  574   19     0     -86      0     86  0.12717144E+01  0.00000000E+00 0.1438E-12      5
  575   19     0     -85      0     85  0.12846624E+01  0.00000000E+00 0.1165E-14      6
  576   19     0     -84      0     84  0.13004550E+01  0.00000000E+00 0.8968E-13      6
  577   19     0     -83      0     83  0.13164967E+01  0.00000000E+00 0.2625E-13      5
  578   19     0     -82      0     82  0.13299601E+01  0.00000000E+00 0.1327E-12      5
  579   19     0     -81      0     81  0.13438436E+01  0.00000000E+00 0.5408E-13      6
  580   19     0     -80      0     80  0.13611013E+01  0.00000000E+00 0.8927E-13      5
  581   19     0     -79      0     79  0.13788073E+01  0.00000000E+00 0.5264E-13      6
  582   19     0     -78      0     78  0.13936041E+01  0.00000000E+00 0.3987E-13      5
  583   19     0     -77      0     77  0.14086535E+01  0.00000000E+00 0.9307E-13      5
  584   19     0     -76      0     76  0.14276217E+01  0.00000000E+00 0.2292E-12      5
  585   19     0     -75      0     75  0.14471893E+01  0.00000000E+00 0.3046E-12      6
  586   19     0     -74      0     74  0.14634762E+01  0.00000000E+00 0.2511E-12      6
  587   19     0     -73      0     73  0.14798341E+01  0.00000000E+00 0.4113E-12      6
  588   19     0     -72      0     72  0.15006474E+01  0.00000000E+00 0.3489E-13      5
  589   19     0     -71      0     71  0.15221562E+01  0.00000000E+00 0.4023E-13      6
  590   19     0     -70      0     70  0.15399325E+01  0.00000000E+00 0.7413E-13      6
  591   19     0     -69      0     69  0.15578459E+01  0.00000000E+00 0.1816E-12      6
  592   19     0     -68      0     68  0.15808529E+01  0.00000000E+00 0.1322E-12      5
  593   19     0     -67      0     67  0.16046886E+01  0.00000000E+00 0.4898E-13      6
  594   19     0     -66      0     66  0.16242222E+01  0.00000000E+00 0.1007E-12      6
  595   19     0     -65      0     65  0.16439187E+01  0.00000000E+00 0.8373E-13      6
  596   19     0     -64      0     64  0.16695395E+01  0.00000000E+00 0.1340E-12      5
  597   19     0     -63      0     63  0.16959877E+01  0.00000000E+00 0.1864E-12      6
  Time elapsed :      6.524 s

Mode Search
-----------

Mode parameters
   l : 20
   m : 0

Building frequency grid (REAL axis)
   added scan interval :  0.5234E+00 ->  0.2094E+01 (3000 points, INVERSE)

Building spatial grid
   Scaffold grid from model
   Split 279 subinterval(s) in iteration 1
   Split 29 subinterval(s) in iteration 2
   Split 0 subinterval(s) in iteration 3
   Final grid has 1 segment(s) and 7445 point(s):
      Segment 1 : x range 0.0000 -> 1.0012 (1 -> 7445)

Starting search (adiabatic)

Scanning frequencies
  Time elapsed :     0.876 s

Finding roots
  Time elapsed :      0.198 s

Processing modes
   id    l     m    n_pg    n_p    n_g       Re(omega)       Im(omega)        chi n_iter
  637   20     0    -199      0    199  0.59350241E+00  0.00000000E+00 0.3645E-12      6
  638   20     0    -198      0    198  0.59640374E+00  0.00000000E+00 0.1456E-12      6
  639   20     0    -197      0    197  0.59925848E+00  0.00000000E+00 0.1852E-13      6
  640   20     0    -196      0    196  0.60236529E+00  0.00000000E+00 0.4961E-12      6
  641   20     0    -195      0    195  0.60556444E+00  0.00000000E+00 0.1871E-12      6
  642   20     0    -194      0    194  0.60855310E+00  0.00000000E+00 0.6459E-12      6
  643   20     0    -193      0    193  0.61149473E+00  0.00000000E+00 0.8105E-12      5
  644   20     0    -192      0    192  0.61475107E+00  0.00000000E+00 0.2182E-12      6
  645   20     0    -191      0    191  0.61811191E+00  0.00000000E+00 0.1456E-12      6
  646   20     0    -190      0    190  0.62122039E+00  0.00000000E+00 0.1860E-12      6
  647   20     0    -189      0    189  0.62424711E+00  0.00000000E+00 0.1935E-12      5
  648   20     0    -188      0    188  0.62763236E+00  0.00000000E+00 0.4273E-12      6
  649   20     0    -187      0    187  0.63115465E+00  0.00000000E+00 0.4012E-12      6
  650   20     0    -186      0    186  0.63443060E+00  0.00000000E+00 0.9208E-13      6
  651   20     0    -185      0    185  0.63758332E+00  0.00000000E+00 0.9525E-12      5
  652   20     0    -184      0    184  0.64108103E+00  0.00000000E+00 0.1831E-12      6
  653   20     0    -183      0    183  0.64472914E+00  0.00000000E+00 0.3541E-12      6
  654   20     0    -182      0    182  0.64814240E+00  0.00000000E+00 0.3177E-13      6
  655   20     0    -181      0    181  0.65145990E+00  0.00000000E+00 0.1183E-12      5
  656   20     0    -180      0    180  0.65512265E+00  0.00000000E+00 0.4063E-12      5
  657   20     0    -179      0    179  0.65892264E+00  0.00000000E+00 0.5037E-12      6
  658   20     0    -178      0    178  0.66247722E+00  0.00000000E+00 0.2828E-13      6
  659   20     0    -177      0    177  0.66595050E+00  0.00000000E+00 0.6957E-13      5
  660   20     0    -176      0    176  0.66977430E+00  0.00000000E+00 0.1035E-12      5
  661   20     0    -175      0    175  0.67371604E+00  0.00000000E+00 0.4773E-13      6
  662   20     0    -174      0    174  0.67740896E+00  0.00000000E+00 0.3489E-13      6
  663   20     0    -173      0    173  0.68107923E+00  0.00000000E+00 0.1226E-12      5
  664   20     0    -172      0    172  0.68511015E+00  0.00000000E+00 0.1931E-12      5
  665   20     0    -171      0    171  0.68922289E+00  0.00000000E+00 0.2712E-12      6
  666   20     0    -170      0    170  0.69304677E+00  0.00000000E+00 0.5209E-13      5
  667   20     0    -169      0    169  0.69688103E+00  0.00000000E+00 0.8693E-12      5
  668   20     0    -168      0    168  0.70111789E+00  0.00000000E+00 0.1431E-12      6
  669   20     0    -167      0    167  0.70542197E+00  0.00000000E+00 0.7424E-14      6
  670   20     0    -166      0    166  0.70940985E+00  0.00000000E+00 0.3913E-12      6
  671   20     0    -165      0    165  0.71344611E+00  0.00000000E+00 0.5178E-12      5
  672   20     0    -164      0    164  0.71791736E+00  0.00000000E+00 0.1779E-12      6
  673   20     0    -163      0    163  0.72242523E+00  0.00000000E+00 0.4618E-12      6
  674   20     0    -162      0    162  0.72654931E+00  0.00000000E+00 0.7940E-13      6
  675   20     0    -161      0    161  0.73077265E+00  0.00000000E+00 0.2624E-12      5
  676   20     0    -160      0    160  0.73550179E+00  0.00000000E+00 0.2894E-12      6
  677   20     0    -159      0    159  0.74025256E+00  0.00000000E+00 0.1646E-12      6
  678   20     0    -158      0    158  0.74456643E+00  0.00000000E+00 0.4160E-13      5
  679   20     0    -157      0    157  0.74900144E+00  0.00000000E+00 0.1777E-12      5
  680   20     0    -156      0    156  0.75398841E+00  0.00000000E+00 0.1925E-12      5
  681   20     0    -155      0    155  0.75897845E+00  0.00000000E+00 0.3512E-13      6
  682   20     0    -154      0    154  0.76347056E+00  0.00000000E+00 0.3119E-12      6
  683   20     0    -153      0    153  0.76812938E+00  0.00000000E+00 0.2043E-12      5
  684   20     0    -152      0    152  0.77340818E+00  0.00000000E+00 0.1067E-12      6
  685   20     0    -151      0    151  0.77869082E+00  0.00000000E+00 0.5336E-12      5
  686   20     0    -150      0    150  0.78341476E+00  0.00000000E+00 0.1961E-12      6
  687   20     0    -149      0    149  0.78828973E+00  0.00000000E+00 0.2476E-12      5
  688   20     0    -148      0    148  0.79384018E+00  0.00000000E+00 0.3331E-12      6
  689   20     0    -147      0    147  0.79939089E+00  0.00000000E+00 0.8977E-13      6
  690   20     0    -146      0    146  0.80435901E+00  0.00000000E+00 0.5395E-13      6
  691   20     0    -145      0    145  0.80952938E+00  0.00000000E+00 0.6476E-12      5
  692   20     0    -144      0    144  0.81539666E+00  0.00000000E+00 0.4026E-13      5
  693   20     0    -143      0    143  0.82122667E+00  0.00000000E+00 0.1408E-12      6
  694   20     0    -142      0    142  0.82644455E+00  0.00000000E+00 0.5707E-13      6
  695   20     0    -141      0    141  0.83193650E+00  0.00000000E+00 0.4444E-13      5
  696   20     0    -140      0    140  0.83813923E+00  0.00000000E+00 0.3244E-12      6
  697   20     0    -139      0    139  0.84424674E+00  0.00000000E+00 0.9520E-13      6
  698   20     0    -138      0    138  0.84972632E+00  0.00000000E+00 0.2801E-13      5
  699   20     0    -137      0    137  0.85560041E+00  0.00000000E+00 0.1208E-12      5
  700   20     0    -136      0    136  0.86220018E+00  0.00000000E+00 0.2213E-13      6
  701   20     0    -135      0    135  0.86863174E+00  0.00000000E+00 0.1121E-12      6
  702   20     0    -134      0    134  0.87435999E+00  0.00000000E+00 0.6862E-13      5
  703   20     0    -133      0    133  0.88060307E+00  0.00000000E+00 0.4376E-13      5
  704   20     0    -132      0    132  0.88763023E+00  0.00000000E+00 0.9919E-13      6
  705   20     0    -131      0    131  0.89443634E+00  0.00000000E+00 0.2155E-12      6
  706   20     0    -130      0    130  0.90048261E+00  0.00000000E+00 0.2559E-12      5
  707   20     0    -129      0    129  0.90712789E+00  0.00000000E+00 0.6585E-12      5
  708   20     0    -128      0    128  0.91458256E+00  0.00000000E+00 0.1673E-12      6
  709   20     0    -127      0    127  0.92173432E+00  0.00000000E+00 0.7551E-14      6
  710   20     0    -126      0    126  0.92811676E+00  0.00000000E+00 0.3869E-13      5
  711   20     0    -125      0    125  0.93525163E+00  0.00000000E+00 0.1013E-12      5
  712   20     0    -124      0    124  0.94320047E+00  0.00000000E+00 0.7281E-13      6
  713   20     0    -123      0    123  0.95075569E+00  0.00000000E+00 0.1767E-12      6
  714   20     0    -122      0    122  0.95748803E+00  0.00000000E+00 0.1256E-12      5
  715   20     0    -121      0    121  0.96511163E+00  0.00000000E+00 0.1679E-12      5
  716   20     0    -120      0    120  0.97359948E+00  0.00000000E+00 0.3391E-13      6
  717   20     0    -119      0    119  0.98164175E+00  0.00000000E+00 0.3524E-13      6
  718   20     0    -118      0    118  0.98877545E+00  0.00000000E+00 0.1987E-13      5
  719   20     0    -117      0    117  0.99689235E+00  0.00000000E+00 0.7387E-13      5
  720   20     0    -116      0    116  0.10059504E+01  0.00000000E+00 0.2782E-13      6
  721   20     0    -115      0    115  0.10145182E+01  0.00000000E+00 0.2497E-12      6
  722   20     0    -114      0    114  0.10220831E+01  0.00000000E+00 0.3546E-12      5
  723   20     0    -113      0    113  0.10307353E+01  0.00000000E+00 0.9144E-13      5
  724   20     0    -112      0    112  0.10404139E+01  0.00000000E+00 0.9397E-14      6
  725   20     0    -111      0    111  0.10495615E+01  0.00000000E+00 0.3008E-12      6
  726   20     0    -110      0    110  0.10575742E+01  0.00000000E+00 0.4222E-12      6
  727   20     0    -109      0    109  0.10667664E+01  0.00000000E+00 0.4517E-12      5
  728   20     0    -108      0    108  0.10771125E+01  0.00000000E+00 0.1674E-13      6
  729   20     0    -107      0    107  0.10869502E+01  0.00000000E+00 0.3798E-13      6
  730   20     0    -106      0    106  0.10954964E+01  0.00000000E+00 0.1863E-12      5
  731   20     0    -105      0    105  0.11052211E+01  0.00000000E+00 0.9205E-13      5
  732   20     0    -104      0    104  0.11162910E+01  0.00000000E+00 0.1132E-12      6
  733   20     0    -103      0    103  0.11269582E+01  0.00000000E+00 0.4832E-12      6
  734   20     0    -102      0    102  0.11361164E+01  0.00000000E+00 0.1533E-12      5
  735   20     0    -101      0    101  0.11463392E+01  0.00000000E+00 0.2630E-13      5
  736   20     0    -100      0    100  0.11581985E+01  0.00000000E+00 0.1625E-12      6
  737   20     0     -99      0     99  0.11698418E+01  0.00000000E+00 0.2003E-12      6
  738   20     0     -98      0     98  0.11797684E+01  0.00000000E+00 0.1223E-12      5
  739   20     0     -97      0     97  0.11905292E+01  0.00000000E+00 0.1995E-12      6
  740   20     0     -96      0     96  0.12032856E+01  0.00000000E+00 0.4001E-13      6
  741   20     0     -95      0     95  0.12160465E+01  0.00000000E+00 0.1094E-12      6
  742   20     0     -94      0     94  0.12269137E+01  0.00000000E+00 0.1853E-12      5
  743   20     0     -93      0     93  0.12383490E+01  0.00000000E+00 0.2428E-12      6
  744   20     0     -92      0     92  0.12521406E+01  0.00000000E+00 0.1306E-12      6
