                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.6.1"                                 "CRMATH"                               "20260811"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                             dyn_freq_cpd                         detuning_cut_cpd 
                                       1                                     6440                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.2000000000000002E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999490888836E-001                  3.1013952567522478E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999490888836E-001                  3.1013952567522478E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1805578245817632E+000                  6.5984537262931461E-008                 -7.1805578245817632E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1805578245817632E+000                  6.5984537262931461E-008                 -7.1805578245817765E+000                 -2.0675715472262414E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6877225344808475E+000                  1.2381138986276490E+000                  7.6626504121662609E-001                  3.2479602256920872E+000                  0.0000000000000000E+000                  1.3586762573897037E+001                 -1.0070962169292199E+000                  6.4665412912271263E+000                  6.2126215834506926E-001                  8.5000200040880947E-001                  1.2966660757481654E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5011630156384652E-003                  8.5724019738533126E-003                  3.5011630156384622E-003                  8.5724019738533195E-003                  1.5399999999999887E+000                  6.1593444520244589E-001                                        0                                        4                  9.0775879359264222E-001                  1.3616381903889632E-001 
                                       2                                     6433                  2.1999999999999999E-005                 -4.9208187539523749E+000                  2.2000000000000002E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999666670059E-001                  3.0984105500072036E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999666670059E-001                  3.0984105500072036E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1805543228402327E+000                  6.5985069302217415E-008                 -7.1805543228402318E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1805543228402327E+000                  6.5985069302217415E-008                 -7.1805543228402477E+000                 -2.0624012628505714E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6853365240508738E+000                  1.2285662012547292E+000                  7.6626321339011427E-001                  3.2479638813451106E+000                  0.0000000000000000E+000                  1.3586762573991859E+001                 -1.0070962168675825E+000                  6.4665412912600573E+000                  6.2126215834504772E-001                  8.5000200040880936E-001                  1.2966660757481647E+000                  6.9999999999999984E-001                  2.7997020236474884E-001                  3.5011630156384639E-003                  8.5724019738533108E-003                  3.5011630156384700E-003                  8.5724019738533021E-003                  1.5399999999999809E+000                  6.1593444520244589E-001                                        0                                        3                  9.0776452437289346E-001                  1.3616467865593401E-001 
                                       3                                     6431                  3.6400000000000004E-005                 -4.8416375079047498E+000                  2.2000000000000002E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999685420060E-001                  3.1016914955426756E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999685420060E-001                  3.1016914955426756E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1805501216852905E+000                  6.5985707612977457E-008                 -7.1805501216852905E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1805501216852905E+000                  6.5985707612977457E-008                 -7.1805501216853074E+000                 -2.0587297375784797E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6855310030800164E+000                  1.2293457534573211E+000                  7.6626403143312494E-001                  3.2479622452590893E+000                  0.0000000000000000E+000                  1.3586762574009338E+001                 -1.0070962168517044E+000                  6.4665412912617235E+000                  6.2126215834504783E-001                  8.5000200040880947E-001                  1.2966660757481654E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5011630156384652E-003                  8.5724019738533126E-003                  3.5011630156384708E-003                  8.5724019738532987E-003                  1.5399999999999887E+000                  6.1593444520244589E-001                                        0                                        2                  9.0776195956005412E-001                  1.3616429393400811E-001 
                                       4                                     6431                  5.3680000000000008E-005                 -4.7624562618571247E+000                  2.2000000000000002E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999685420060E-001                  3.1028138780249369E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999685420060E-001                  3.1028138780249369E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1805450806765085E+000                  6.5986473536736338E-008                 -7.1805450806765094E+000                 -9.8999999999999986E+001                 -2.2401158415742906E+001                 -7.1805450806765085E+000                  6.5986473536736338E-008                 -7.1805450806765272E+000                 -2.0562154003399964E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6857553007621990E+000                  1.2302440636584588E+000                  7.6626459116932855E-001                  3.2479611257866821E+000                  0.0000000000000000E+000                  1.3586762574032244E+001                 -1.0070962168314808E+000                  6.4665412912644813E+000                  6.2126215834504783E-001                  8.5000200040880936E-001                  1.2966660757481647E+000                  6.9999999999999984E-001                  2.7997020236474884E-001                  3.5011630156384639E-003                  8.5724019738533108E-003                  3.5011630156384700E-003                  8.5724019738532987E-003                  1.5399999999999809E+000                  6.1593444520244589E-001                                        0                                        2                  9.0776020462154028E-001                  1.3616403069323105E-001 
                                       5                                     6431                  7.4416000000000014E-005                 -4.6832750158095005E+000                  2.2000000000000002E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999685420060E-001                  3.0996407028734459E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999685420060E-001                  3.0996407028734459E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1805390319680980E+000                  6.5987392580688334E-008                 -7.1805390319680980E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1805390319680980E+000                  6.5987392580688334E-008                 -7.1805390319681166E+000                 -2.0545795405545114E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6858771496359424E+000                  1.2307319530917409E+000                  7.6626483813848212E-001                  3.2479606318483749E+000                  0.0000000000000000E+000                  1.3586762574068363E+001                 -1.0070962168020097E+000                  6.4665412912711853E+000                  6.2126215834504517E-001                  8.5000200040880947E-001                  1.2966660757481654E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5011630156384652E-003                  8.5724019738533126E-003                  3.5011630156384708E-003                  8.5724019738532987E-003                  1.5399999999999887E+000                  6.1593444520244589E-001                                        0                                        2                  9.0775943030129258E-001                  1.3616391454519389E-001 
                                       6                                     6431                  9.9299200000000013E-005                 -4.6040937697618753E+000                  2.2000000000000002E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999685420060E-001                  3.0996481913898423E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999685420060E-001                  3.0996481913898423E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1805317742966279E+000                  6.5988495332019899E-008                 -7.1805317742966279E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1805317742966279E+000                  6.5988495332019899E-008                 -7.1805317742966475E+000                 -2.0535825285673429E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6859350550230898E+000                  1.2309636720556514E+000                  7.6626488684614258E-001                  3.2479605344330542E+000                  0.0000000000000000E+000                  1.3586762574115937E+001                 -1.0070962167640909E+000                  6.4665412912808886E+000                  6.2126215834504106E-001                  8.5000200040880936E-001                  1.2966660757481647E+000                  6.9999999999999984E-001                  2.7997020236474884E-001                  3.5011630156384639E-003                  8.5724019738533108E-003                  3.5011630156384700E-003                  8.5724019738532987E-003                  1.5399999999999809E+000                  6.1593444520244589E-001                                        0                                        2                  9.0775927758866493E-001                  1.3616389163829973E-001 
                                       7                                     6431                  1.2915904000000000E-004                 -4.5249125237142502E+000                  2.2000000000000002E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999685420060E-001                  3.1026071530290160E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999685420060E-001                  3.1026071530290160E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1805230662186634E+000                  6.5989818486577758E-008                 -7.1805230662186634E+000                 -9.8999999999999986E+001                 -2.2577249674798587E+001                 -7.1805230662186634E+000                  6.5989818486577758E-008                 -7.1805230662186830E+000                 -2.0530208555786857E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6859570426285173E+000                  1.2310514707818618E+000                  7.6626481099839283E-001                  3.2479606861285535E+000                  0.0000000000000000E+000                  1.3586762574178032E+001                 -1.0070962167155677E+000                  6.4665412912945017E+000                  6.2126215834503462E-001                  8.5000200040880947E-001                  1.2966660757481654E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5011630156384652E-003                  8.5724019738533126E-003                  3.5011630156384708E-003                  8.5724019738532987E-003                  1.5399999999999887E+000                  6.1593444520244589E-001                                        0                                        2                  9.0775951539334709E-001                  1.3616392730900206E-001 
                                       8                                     6431                  1.6499084799999998E-004                 -4.4457312776666260E+000                  2.2000000000000002E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999685420060E-001                  3.1043109334619565E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999685420060E-001                  3.1043109334619565E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1805126181785752E+000                  6.5991406055821962E-008                 -7.1805126181785761E+000                 -9.8999999999999986E+001                 -2.2401158415742906E+001                 -7.1805126181785752E+000                  6.5991406055821962E-008                 -7.1805126181785948E+000                 -2.0527320048021636E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6859585792608383E+000                  1.2310573040820751E+000                  7.6626465438385749E-001                  3.2479609993576242E+000                  0.0000000000000000E+000                  1.3586762574255324E+001                 -1.0070962166556647E+000                  6.4665412913119305E+000                  6.2126215834502618E-001                  8.5000200040880936E-001                  1.2966660757481647E+000                  6.9999999999999984E-001                  2.7997020236474884E-001                  3.5011630156384639E-003                  8.5724019738533108E-003                  3.5011630156384700E-003                  8.5724019738532987E-003                  1.5399999999999809E+000                  6.1593444520244589E-001                                        0                                        2                  9.0776000642551213E-001                  1.3616400096382680E-001 
                                       9                                     6431                  2.0798901759999997E-004                 -4.3665500316190009E+000                  2.2000000000000002E+000                  3.3640928591182877E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999685420060E-001                  3.1029490468921475E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999685420060E-001                  3.1029490468921475E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1805000829223653E+000                  6.5993310825869432E-008                 -7.1805000829223653E+000                 -9.8999999999999986E+001                 -2.2878279670462568E+001                 -7.1805000829223653E+000                  6.5993310825869432E-008                 -7.1805000829223848E+000                 -2.0525979349674415E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6859484531724771E+000                  1.2310163805633385E+000                  7.6626444480121225E-001                  3.2479614185229146E+000                  0.0000000000000000E+000                  1.3586762574350262E+001                 -1.0070962165824600E+000                  6.4665412913337033E+000                  6.2126215834501519E-001                  8.5000200040880947E-001                  1.2966660757481654E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.5011630156384652E-003                  8.5724019738533126E-003                  3.5011630156384708E-003                  8.5724019738532987E-003                  1.5399999999999887E+000                  6.1593444520244589E-001                                        0                                        2                  9.0776066352853879E-001                  1.3616409952928082E-001 
